step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
1,0,0,0,0,0,0,0,0,0,0,0,3.35708869719492e-19,5.79403891702059e-10,1,0.0976758
2,6.09961000872445e-14,1.7352043554239e-08,3.04064748634293e-10,1.21140014287228e-08,-3.00452329682344e-10,-3.00452329682344e-10,1.21216007313196e-08,1.86026211292657e-27,4.31307559976239e-14,7.34666021447633e-17,8.57126607595187e-09,1.75843362783064e-19,4.19336813054928e-10,1,0.0115539
3,3.93823468493615e-13,4.83917059799599e-08,8.52668282202395e-10,9.56359695011579e-09,-8.38412894665908e-10,-8.38412894665908e-10,9.63860830292405e-09,5.29391495207316e-26,2.30085091913256e-13,7.99453247689077e-17,8.94121494926208e-09,1.20497933626896e-19,3.47128122783067e-10,1,0.0108976
4,1.23280554206293e-12,7.28637059866495e-08,1.28659666495758e-09,7.54151810796437e-09,-1.26316046511477e-09,-1.26316046511477e-09,7.75545473844049e-09,4.19656738275818e-25,6.47809183537728e-13,7.49957631266805e-17,8.66000941839445e-09,9.1873845400901e-20,3.03106986723997e-10,1,0.0157647
5,2.50199684108742e-12,9.2130651004763e-08,1.62431012367404e-09,5.94313748710734e-09,-1.59778923425336e-09,-1.59778923425336e-09,6.36748638055536e-09,1.58772302918294e-24,1.26004882015855e-12,6.8105587062656e-17,8.25261092398376e-09,7.42338952556876e-20,2.72458979032968e-10,1,0.0121331
6,3.98239352781899e-12,1.0729019770389e-07,1.88308368077039e-09,4.68380511155457e-09,-1.86116055900243e-09,-1.86116055900243e-09,5.38428809302492e-09,3.96634555938822e-24,1.99156861779558e-12,6.1586415596995e-17,7.84770129381815e-09,6.22402570926585e-20,2.49479973329842e-10,1,0.0139955
7,5.48490085146114e-12,1.19225314692566e-07,2.0785390115391e-09,3.69666604683901e-09,-2.0685724244629e-09,-2.0685724244629e-09,4.72395302603789e-09,7.69745867238406e-24,2.77442943186235e-12,5.59763179677404e-17,7.48173228388589e-09,5.35525262351597e-20,2.31414187627206e-10,1,0.0108628
8,6.98132912543394e-12,1.28647168980332e-07,2.224439019551e-09,2.92909448522765e-09,-2.23239693397659e-09,-2.23239693397659e-09,4.30920168383336e-09,1.28276458830401e-23,3.58157030966029e-12,5.13004306157669e-17,7.1624318925744e-09,4.69726472171918e-20,2.16731740216314e-10,1,0.0107061
9,8.68119027726141e-12,1.36129725006093e-07,2.33264609645964e-09,2.33940737754248e-09,-2.36262431840828e-09,-2.36262431840828e-09,4.06928709508575e-09,1.97760257438154e-23,4.4470243695999e-12,4.74402824875963e-17,6.88769064981843e-09,4.18203648825779e-20,2.04500280886306e-10,1,0.0104488
10,1.0988385053019e-11,1.42137334011653e-07,2.41318010919243e-09,1.8944219848666e-09,-2.46732234643332e-09,-2.46732234643332e-09,3.94545130358708e-09,2.9872883776775e-23,5.46560918624585e-12,4.42529128377344e-17,6.65228628651341e-09,3.76796197055594e-20,1.94112389366468e-10,1,0.010164
11,1.42988880834623e-11,1.47046485958316e-07,2.47434480164701e-09,1.5674082493653e-09,-2.55301380036599e-09,-2.55301380036599e-09,3.89435449406653e-09,4.57442761991937e-23,6.7634515004688e-12,4.16086477548e-17,6.4504765525347e-09,3.42813003668971e-20,1.85152100627827e-10,1,0.0098708
12,1.88102903534504e-11,1.51163293601464e-07,2.52289820543406e-09,1.33675017767659e-09,-2.62498733860639e-09,-2.62498733860639e-09,3.88752906580237e-09,7.14178384476866e-23,8.45090755171813e-12,3.94006672950215e-17,6.27699508483331e-09,3.14435053622008e-20,1.77323166456616e-10,1,0.0102089
13,2.45085845161505e-11,1.54737429890048e-07,2.56424550016933e-09,1.18492325092129e-09,-2.68754796195481e-09,-2.68754796195481e-09,3.90815281366339e-09,1.12129598181349e-22,1.05891264125682e-11,3.75447435350156e-17,6.12737656220145e-09,2.90388479742342e-20,1.70407887065811e-10,1,0.010522
14,3.12543895856414e-11,1.57973515735834e-07,2.6026376550967e-09,1.09788097035958e-09,-2.74422129464824e-09,-2.74422129464824e-09,3.94739944208036e-09,1.73894403194899e-22,1.31869027142426e-11,3.59759734507528e-17,5.99799745337999e-09,2.69755228656195e-20,1.64242268815368e-10,1,0.010085
15,3.88564509330224e-11,1.6104034446602e-07,2.64136598563685e-09,1.06459279485622e-09,-2.79791745327884e-09,-2.79791745327884e-09,4.00145321186785e-09,2.62956361589264e-22,1.62159292545714e-11,3.46450170744871e-17,5.8860017902212e-09,2.51857653249976e-20,1.58700237318656e-10,1,0.0102716
16,4.71082242398997e-11,1.64078085437627e-07,2.68294109934954e-09,1.07637016808608e-09,-2.8510571681295e-09,-2.8510571681295e-09,4.06936834343862e-09,3.85220638429727e-22,1.96270384528519e-11,3.3514688426993e-17,5.78918719916647e-09,2.36185322242836e-20,1.5368322037322e-10,1,0.0105705
17,5.58090134701594e-11,1.67204106504841e-07,2.72925347800893e-09,1.12634687838444e-09,-2.90567214733528e-09,-2.90567214733528e-09,4.15172863309229e-09,5.45775070552239e-22,2.33618293494375e-11,3.25571685573368e-17,5.70588893664579e-09,2.22347597478157e-20,1.49113244709569e-10,1,0.0107984
18,6.47721849079237e-11,1.70517770697254e-07,2.78171368385132e-09,1.20895589867301e-09,-2.96348678929803e-09,-2.96348678929803e-09,4.24980604105142e-09,7.48534007618573e-22,2.73593495467011e-11,3.17518176034046e-17,5.63487511870535e-09,2.10040758115444e-20,1.44927829665473e-10,1,0.010647
19,7.38335617911915e-11,1.74103862409994e-07,2.84136896059943e-09,1.31953137482643e-09,-3.02597591428366e-09,-3.02597591428366e-09,4.36504323345377e-09,9.96052999153053e-22,3.15603073361628e-11,3.10834904890107e-17,5.57525698860696e-09,1.99025579932468e-20,1.41076426071994e-10,1,0.0107886
20,8.28562073442951e-11,1.78035520079424e-07,2.90899880233396e-09,1.45417669067059e-09,-3.09441405832445e-09,-3.09441405832445e-09,4.49879091268493e-09,1.28950790396944e-21,3.5909718795466e-11,3.0541271948363e-17,5.52641583201653e-09,1.89110845322668e-20,1.37517578993621e-10,1,0.0105363
21,9.17309233975582e-11,1.8237624483065e-07,2.98519035092964e-09,1.60955849664703e-09,-3.16990922399896e-09,-3.16990922399896e-09,4.65213535787325e-09,1.62879620889322e-21,4.03583474499789e-11,3.01175143978683e-17,5.48794263798997e-09,1.80141715003631e-20,1.34216882322467e-10,1,0.0101774
22,1.00376722362218e-10,1.87181391785321e-07,3.07039685428971e-09,1.78290610310873e-09,-3.25342819351704e-09,-3.25342819351704e-09,4.82586867657803e-09,2.01273667176997e-21,4.48635338751861e-11,2.98071277654005e-17,5.45959043934621e-09,1.71991358269266e-20,1.31145475815701e-10,1,0.0103023
