step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
1,2.6624259032066,-6.86041308377611e-05,1.62258984889249e-11,-5.78725491056147e-10,2.6624259031943,-6.8604150104745e-05,-4.17913582373182e-21,1.19677286744223e-35
2,2.66242590321138,-6.86041784104147e-05,-8.80513652869481e-12,1.21686655026915e-10,2.6624259031943,-6.8604150104745e-05,7.03921296187997e-22,1.01264000216898e-19
3,2.66242590320664,-6.86041641379168e-05,-6.04406766143903e-12,9.70633684375766e-11,2.6624259031943,-6.8604150104745e-05,-9.12455285850484e-21,-6.47285040179232e-20
4,2.66242590320038,-6.86041557910699e-05,-4.18277172887139e-12,7.69081949750458e-11,2.6624259031943,-6.86041501047449e-05,-1.94226362946715e-20,-2.62977525692152e-19
5,2.66242590319447,-6.86041503083375e-05,-2.84219038011031e-12,6.05470750877686e-11,2.6624259031943,-6.86041501047449e-05,-1.33902493914151e-20,-1.99172366316684e-19
6,2.66242590318979,-6.86041472753855e-05,-1.95057030474364e-12,4.73273978306612e-11,2.6624259031943,-6.86041501047449e-05,-1.54551471297764e-20,1.67383398482793e-21
7,2.66242590318639,-6.86041458292642e-05,-1.32182692892424e-12,3.66544837938125e-11,2.6624259031943,-6.86041501047451e-05,-1.19428510619806e-20,-2.63673804087111e-19
8,2.66242590318407,-6.8604145461768e-05,-8.39964036384612e-13,2.80435604273946e-11,2.6624259031943,-6.8604150104745e-05,-4.80829030678255e-20,-9.97823071309929e-22
9,2.66242590318254,-6.86041457731698e-05,-4.56243697078818e-13,2.10882504398233e-11,2.6624259031943,-6.86041501047451e-05,3.91491626038242e-20,9.36056452648753e-19
10,2.66242590318163,-6.86041464630572e-05,-1.36991237957693e-13,1.54587161921053e-11,2.6624259031943,-6.86041501047451e-05,-2.14364270974279e-20,8.67037305346763e-24
11,2.66242590318119,-6.86041473253496e-05,1.2985459774585e-13,1.08844292609248e-11,2.6624259031943,-6.8604150104745e-05,0,-1.32671651442706e-19
12,2.66242590318115,-6.86041482183354e-05,3.51310055696621e-13,7.14920167664263e-12,2.6624259031943,-6.8604150104745e-05,4.26048085699904e-20,-1.30989851310421e-19
13,2.66242590318146,-6.86041490527501e-05,5.27124512159439e-13,4.0794589174265e-12,2.6624259031943,-6.8604150104745e-05,-4.74087535572692e-20,2.67025103017697e-19
14,2.66242590318208,-6.86041497825022e-05,6.56586478020662e-13,1.53527039135035e-12,2.6624259031943,-6.8604150104745e-05,-3.077627144712e-20,1.36010649039309e-19
15,2.66242590318298,-6.86041503786951e-05,7.40406236107535e-13,-5.89567286013051e-13,2.6624259031943,-6.86041501047451e-05,3.43452176165454e-20,6.73062994661687e-19
16,2.66242590318414,-6.8604150841623e-05,7.80088553516377e-13,-2.38121600092538e-12,2.6624259031943,-6.8604150104745e-05,-3.09102942595528e-20,4.03060354724974e-19
17,2.66242590318551,-6.86041511794227e-05,7.77246138512914e-13,-3.90670374566735e-12,2.6624259031943,-6.86041501047451e-05,2.11683814725624e-20,-1.32647048774738e-19
18,2.66242590318702,-6.86041514061116e-05,7.3548817151623e-13,-5.21571958411461e-12,2.6624259031943,-6.8604150104745e-05,-1.495196165996e-20,-2.62302219004231e-19
19,2.66242590318861,-6.86041515408218e-05,6.63589219610613e-13,-6.34875046963555e-12,2.6624259031943,-6.8604150104745e-05,-1.9349802761548e-20,-2.60305164410418e-19
20,2.66242590319021,-6.86041516012017e-05,5.64765554829489e-13,-7.33323780844116e-12,2.6624259031943,-6.86041501047451e-05,2.87059652306776e-21,8.04768687622912e-19
21,2.66242590319179,-6.86041516088949e-05,4.46705034519726e-13,-8.19375601911349e-12,2.6624259031943,-6.8604150104745e-05,-4.8039449872788e-21,1.68180013228505e-21
22,2.66242590319326,-6.86041515789113e-05,3.15903247757871e-13,-8.9455434755022e-12,2.6624259031943,-6.8604150104745e-05,0,0
23,2.66242590319457,-6.86041515238176e-05,1.77687887930271e-13,-9.60019322317364e-12,2.6624259031943,-6.86041501047452e-05,4.32789580805467e-20,1.3468322988024e-19
24,2.66242590319571,-6.860415145669e-05,3.92006851106538e-14,-1.01662812355439e-11,2.6624259031943,-6.8604150104745e-05,1.84318077619274e-20,-1.37049007073501e-19
25,2.66242590319664,-6.86041513851344e-05,-9.70097138443011e-14,-1.06489027544146e-11,2.6624259031943,-6.86041501047449e-05,-5.70166435318268e-20,1.37732984134476e-19
26,2.66242590319735,-6.86041513142784e-05,-2.25884275562523e-13,-1.10506084702581e-11,2.6624259031943,-6.8604150104745e-05,2.33496108742303e-21,1.32691918924147e-19
27,2.66242590319785,-6.86041512509762e-05,-3.4484767826491e-13,-1.13742828114681e-11,2.6624259031943,-6.8604150104745e-05,1.8476890403965e-38,7.96614745712101e-24
28,2.66242590319812,-6.86041511969526e-05,-4.52864968707205e-13,-1.16198030817508e-11,2.6624259031943,-6.8604150104745e-05,-7.20591748091821e-21,2.51473405097046e-21
29,2.66242590319837,-6.86041507904324e-05,-3.30397555732026e-13,-1.28986164047585e-11,2.6624259031943,-6.86041501047451e-05,-6.70114062163754e-23,-6.71723906009689e-20
