state_1_error,state_2_error,state_3_error,state_4_error,state_5_error,state_6_error,state_7_error,state_8_error,state_9_error,state_10_error,state_11_error,state_12_error
0,0,0,0,0,0,0,0,0,0,0,0
2.22044604925031e-14,1.39679934285653e-14,5.50670620214078e-14,1.04294350933287e-12,3.04034458890099e-10,4.16310440378058e-12,4.79841538267027e-10,2.12578879101312e-09,1.72146504356715e-08,3.08445102509793e-10,2.62556434926786e-10,1.21072274428258e-08
2.50799381262823e-13,2.0421164759199e-13,2.24709140184132e-13,6.46083186950364e-12,8.52587416942705e-10,9.80579402717892e-12,8.90816911432335e-10,5.77583683536584e-09,4.80375203537029e-08,1.62633982397806e-10,1.18348220112807e-10,9.56148160646819e-09
8.04800670550776e-13,7.92615972855515e-13,4.9382720135327e-13,1.42573730599338e-11,1.28647584997881e-09,1.03727052739294e-11,4.43084662952023e-10,8.42387577672581e-09,7.23737634988581e-08,4.00009326163581e-10,2.30113289534373e-11,7.53086704108341e-09
1.47581946663422e-12,1.84222082033614e-12,8.29558643999917e-13,2.23522311770807e-11,1.62413313420684e-09,8.67859451903468e-12,3.74841886567872e-10,1.03508501141096e-08,9.15465796741569e-08,5.00270471923554e-10,4.01514238523859e-11,5.92190851911312e-09
1.90525373255923e-12,3.28068128219172e-12,1.21103127526112e-12,2.98161495493332e-11,1.88283738941343e-09,6.20572611627033e-12,1.26795277306421e-09,1.17560519087145e-08,1.06636645027048e-07,5.10192836691355e-10,8.08737105062463e-11,4.65523286585778e-09
1.71829217521235e-12,4.94798646499817e-12,1.62758695410048e-12,3.63514773837892e-11,2.07821794608932e-09,3.62782775809026e-12,2.05715175756246e-09,1.27805356098248e-08,1.18520469538868e-07,4.69820354666592e-10,1.07242409397301e-10,3.66512042937472e-09
6.04738481513323e-13,6.63813448653627e-12,2.07567296683919e-12,4.19463352940852e-11,2.22404318100302e-09,1.17715349763152e-12,2.65201089963658e-09,1.35233168133574e-08,1.27906922514804e-07,4.05145833327342e-10,1.2394980875019e-10,2.89829049648915e-09
1.64479541098217e-12,8.13199507732065e-12,2.55506726887234e-12,4.66744420890564e-11,2.33217882700566e-09,1.10754259377521e-12,3.02047259351344e-09,1.40561200251361e-08,1.35368402019767e-07,3.33870856551473e-10,1.33558331061323e-10,2.31160535157926e-09
5.12889730686084e-12,9.22223408750256e-12,3.06421554796543e-12,5.05978592357792e-11,2.41264740949762e-09,3.2516898935243e-12,3.16872460832581e-09,1.44328716450494e-08,1.41367157148944e-07,2.67166033150272e-10,1.37677536038439e-10,1.87042825672279e-09
9.84134995718478e-12,9.72927294284887e-12,3.59823282281013e-12,5.37314637227837e-11,2.47375566361893e-09,5.29565454221455e-12,3.12553824172223e-09,1.46957118758507e-08,1.46276915799626e-07,2.11288372925981e-10,1.37272582190207e-10,1.54702362031856e-09
1.56885615609781e-11,9.51194678577849e-12,4.14956957683899e-12,5.60406165917016e-11,2.52226525813752e-09,7.26442474847565e-12,2.93087318758193e-09,1.48789120727098e-08,1.50400695777424e-07,1.69119792414767e-10,1.33061783813559e-10,1.31931576774491e-09
2.25113261365095e-11,8.47089065558748e-12,4.70690153520081e-12,5.74572611711233e-11,2.56358531636135e-09,9.16373362140087e-12,2.62805098608244e-09,1.50112442942262e-08,1.53985155458996e-07,1.4121910077853e-10,1.2563025619805e-10,1.16975096275951e-09
3.01046965134333e-11,6.54853948844902e-12,5.25934851225429e-12,5.79019054924856e-11,2.60197031203917e-09,1.09830931150613e-11,2.25856197304348e-09,1.51173729211596e-08,1.57232298233271e-07,1.26680078732966e-10,1.15569123715353e-10,1.08440700863355e-09
3.82407439047938e-11,3.72668562675926e-12,5.79492009933347e-12,5.73046055052373e-11,2.64071375932162e-09,1.27001416015213e-11,1.85906601686224e-09,1.52185854866846e-08,1.60308861498869e-07,1.23838486238407e-10,1.03495281789101e-10,1.05228825653114e-09
4.66846561408829e-11,1.97619698383278e-14,6.30295815540194e-12,5.56212853553006e-11,2.68232642271817e-09,1.42890581316908e-11,1.45978633839934e-09,1.53332048788717e-08,1.63353542884341e-07,1.30555196492777e-10,9.00349933496969e-11,1.06462283433473e-09
5.52105028361893e-11,4.53137527500758e-12,6.77591316389226e-12,5.28439514368984e-11,2.72869651841606e-09,1.57281405271681e-11,1.08397597293097e-09,1.54768197806186e-08,1.66482750691027e-07,1.44693930184202e-10,7.58135498823975e-11,1.11443854144966e-09
6.36092289951762e-11,9.86610793063392e-12,7.20845605428622e-12,4.90054663515593e-11,2.7812300404404e-09,1.69983924304189e-11,7.482413915877e-10,1.56624143342116e-08,1.69795285669552e-07,1.64250755356657e-10,6.14528150588711e-11,1.19616871963046e-09
7.16969816849655e-11,1.59113833220204e-11,7.6003647819789e-12,4.41793268635138e-11,2.84096787870392e-09,1.80905917061211e-11,4.63189744232225e-10,1.59004643222891e-08,1.73375648796694e-07,1.87451017495981e-10,4.75366690455559e-11,1.30528365893667e-09
7.93199950166468e-11,2.2588486636721e-11,7.95297161459985e-12,3.84732246061503e-11,2.90868232055126e-09,1.90000284561599e-11,2.34328956434165e-10,1.61991649627811e-08,1.7729686560794e-07,2.12832790466412e-10,3.45238837518025e-11,1.43810297004165e-09
8.63541460560668e-11,2.98180369284751e-11,8.27093948885249e-12,3.20234949668929e-11,2.98495336731125e-09,1.97312450386516e-11,6.30330278159143e-11,1.65646390811682e-08,1.8162241997473e-07,2.39222618336602e-10,2.28354557485488e-11,1.59151802847646e-09
9.27045107346203e-11,3.75243169870032e-11,8.56070769827966e-12,2.4984569968467e-11,3.07022807902193e-09,2.03016472483187e-11,5.24346244786075e-11,1.7001129600112e-08,1.86407704437398e-07,2.65800362969909e-10,1.27780980241354e-11,1.76293535325556e-09
9.83035874924099e-11,4.56393811631983e-11,8.83271233931282e-12,1.75206515962145e-11,3.16486438192043e-09,2.07274755021291e-11,1.1598528756893e-10,1.75112928655703e-08,1.91701317871476e-07,2.91990450351713e-10,4.56037985152591e-12,1.9500800974015e-09
1.03107578031114e-10,5.41056088820824e-11,9.09605724075391e-12,9.79627490238499e-12,3.26916069348107e-09,2.10304897128247e-11,1.32984557202682e-10,1.80964462226859e-08,1.97545701598634e-07,3.17421405657578e-10,1.69061986632357e-12,2.15092055277921e-09
1.0709200193304e-10,6.28772589550408e-11,9.36140054363932e-12,1.96864746726533e-12,3.38337591928223e-09,2.12395710558343e-11,1.09593167797859e-10,1.87568506464014e-08,2.03977826386489e-07,3.41933327374733e-10,5.96121763063451e-12,2.3636037571606e-09
1.10247144746722e-10,7.19199144683103e-11,9.63940038900546e-12,5.81867887206045e-12,3.50774043083967e-09,2.13809573214251e-11,5.22517425844234e-11,1.94919460865329e-08,2.11029523226292e-07,3.65488090590837e-10,8.27815593851255e-12,2.58638443995096e-09
