step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
1,1,0,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.5707963267949,-6.17763623779416e-18,0.101411272958268,0.994844587720607,1,0,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.5707963267949,-6.17763623779416e-18,0.101411272958268,0.994844587720607
2,0.998750260394944,0.0499791692706644,-1.00000000000006,0.999999999998957,3.04034519806761e-10,4.16310440378058e-12,0.101585905448029,3.71020197828048e-11,1.62079632649444,3.08445096111432e-10,0.101411273220824,0.994844575613379,0.998750260394966,0.0499791692706783,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.6207963267949,-6.39836143577573e-18,0.101411272958268,0.994844587720607
3,0.995004165277775,0.099833416646624,-1.00000000000022,0.999999999993539,8.52587477859367e-10,9.80579402717892e-12,0.101585905455202,1.0080737601274e-10,1.67079632595648,-1.62633988796167e-10,0.101411273076616,0.994844578159125,0.995004165278026,0.0998334166468282,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.67079632679489,-6.39836143577573e-18,0.101411272958268,0.994844587720607
4,0.988771077935238,0.149438132472807,-1.00000000000049,0.999999999985743,1.28647591089547e-09,1.03727052739294e-11,0.101585905447387,1.47024374260496e-10,1.72079632553173,-4.00009332782667e-10,0.101411272981279,0.99484458018974,0.988771077936042,0.149438132473599,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.72079632679489,-6.61908663375731e-18,0.101411272958268,0.994844587720607
5,0.980066577839766,0.198669330793219,-1.00000000000083,0.999999999977648,1.62413319512351e-09,8.67859451903468e-12,0.101585905433112,1.80656421049279e-10,1.7707963251971,-5.00270476997564e-10,0.101411272918116,0.994844581798698,0.980066577841242,0.198669330795061,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.77079632679489,-5.07401024788627e-18,0.101411272958268,0.994844587720607
6,0.96891242170874,0.247403959251242,-1.00000000000121,0.999999999970184,1.8828374503301e-09,6.20572611627033e-12,0.101585905417524,2.05181819020068e-10,1.82079632493373,-5.10192839999563e-10,0.101411272877394,0.994844583065374,0.968912421710645,0.247403959254523,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.82079632679489,-3.30820866403366e-18,0.101411272958268,0.994844587720607
7,0.955336489123888,0.295520206656392,-1.00000000000163,0.999999999963649,2.07821800700598e-09,3.62782775809026e-12,0.10158590540375,2.23062432737461e-10,1.87079632472632,-4.69820356871174e-10,0.101411272851025,0.994844584055486,0.955336489125607,0.29552020666134,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.87079632679489,-2.20458267412577e-18,0.101411272958268,0.994844587720607
8,0.939372712846775,0.342897807448813,-1.00000000000208,0.999999999958054,2.22404324191968e-09,1.17715349763152e-12,0.101585905393368,2.3602641036103e-10,1.92079632456249,-4.05145836414826e-10,0.101411272834318,0.994844584822316,0.93937271284738,0.342897807455452,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.92079632679489,-3.08748346605208e-18,0.101411272958268,0.994844587720607
9,0.921060994004531,0.389418342300519,-1.00000000000256,0.999999999953326,2.33217888792232e-09,-1.10754259377521e-12,0.101585905386937,2.45325580671769e-10,1.97079632443226,-3.33870860080407e-10,0.101411272824709,0.994844585409001,0.921060994002887,0.389418342308651,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.97079632679489,-3.52893386201523e-18,0.101411272958268,0.994844587720607
10,0.900447102357808,0.434965534102008,-1.00000000000306,0.999999999949402,2.41264747041429e-09,-3.2516898935243e-12,0.101585905384349,2.51901136901479e-10,2.02079632432757,-2.67166038886458e-10,0.10141127282059,0.994844585850178,0.900447102352679,0.434965534111231,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.02079632679489,-5.736185841831e-18,0.101411272958268,0.994844587720607
