step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
1,5.29739992440528,0.149999951902527,-0.149999999821287,0.0499999999493072,2.6624259031943,-6.8604150104745e-05,-4.17913582373182e-21,1.19677286744223e-35
2,3.56248467661032,0.0332938131673299,0.0341651222073936,0.0499999999716496,2.6624259031943,-6.8604150104745e-05,7.03921296187997e-22,1.01264000216898e-19
3,4.99817786815609,-0.14999999999986,0.0694751107553994,0.0499999999992962,2.6624259031943,-6.8604150104745e-05,-9.12455285850484e-21,-6.47285040179232e-20
4,4.38889738199256,-0.0686030026598256,0.0898030906524461,0.0499999999630372,2.6624259031943,-6.86041501047449e-05,-1.94226362946715e-20,-2.62977525692152e-19
5,3.21408924585931,0.0299324638363944,0.0599914148375162,-0.00658751316192688,2.6624259031943,-6.86041501047449e-05,-1.33902493914151e-20,-1.99172366316684e-19
6,2.62715096127778,0.0159389462654194,0.0091071318303337,-0.0301557981527308,2.6624259031943,-6.86041501047449e-05,-1.54551471297764e-20,1.67383398482793e-21
7,2.25617386940941,0.0185446624797133,-0.0142803485216941,-0.0250159104362756,2.6624259031943,-6.86041501047451e-05,-1.19428510619806e-20,-2.63673804087111e-19
8,2.06090857368769,0.00545607364361918,-0.0145024640592484,-0.0193374309119886,2.6624259031943,-6.8604150104745e-05,-4.80829030678255e-20,-9.97823071309929e-22
9,2.04237326665537,6.9065362743426e-05,-0.0176358612544466,-0.0135159101087373,2.6624259031943,-6.86041501047451e-05,3.91491626038242e-20,9.36056452648753e-19
10,2.08730762981172,-0.00235670720872463,-0.0141220145494438,-0.00940052917442085,2.6624259031943,-6.86041501047451e-05,-2.14364270974279e-20,8.67037305346763e-24
11,2.15960457309934,-0.00463233940420001,-0.0102447093059123,-0.0061210318944029,2.6624259031943,-6.8604150104745e-05,0,-1.32671651442706e-19
12,2.23605842246067,-0.00590438428754239,-0.00714530301850465,-0.00373744093439006,2.6624259031943,-6.8604150104745e-05,4.26048085699904e-20,-1.30989851310421e-19
