step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
1,0,0,-0.02,0,0,0,0,0,0,0,0,0,1,0,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.5707963267949,-6.17763623779416e-18,0.101411272958268,0.994844587720607
2,0.000248460147376812,0.000250685306885563,-0.0322564022134585,-0.0100498505507108,-0.00992810339529099,-0.490377783660282,0.0602269493611583,-0.0619461785016634,0.0242979193555698,2.43354038999978,-2.45240859153002,1.04602510354199,0.998750260394966,0.0499791692706783,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.6207963267949,-6.39836143577573e-18,0.101411272958268,0.994844587720607
3,0.00283657553939666,0.00299604292840695,-0.0607914067212179,-0.0147137067940357,-0.0271219672757339,-0.662882060874784,0.186228827261389,-0.180912617193531,0.089522503232287,2.93814369070859,-1.94315613248459,2.0920502075514,0.995004165278026,0.0998334166468282,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.67079632679489,-6.39836143577573e-18,0.101411272958268,0.994844587720607
4,0.0117559107980544,0.0138117374649278,-0.103003388019564,0.035963908999125,0.00882051139608563,-1.12212363221682,0.243985960781571,-0.279143333953696,0.204503550507154,0.455499105410277,-0.858348681797458,3.13807531213918,0.988771077936042,0.149438132473599,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.72079632679489,-6.61908663375731e-18,0.101411272958268,0.994844587720607
5,0.0297329371393594,0.0368933716913385,-0.161372590313401,0.188745039061671,0.100559790306048,-1.47787199784168,0.18190368552524,-0.325026910812992,0.390241986572312,-0.665593856901056,0.60978063786151,4.18410041596842,0.980066577841242,0.198669330795061,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.77079632679489,-5.07401024788627e-18,0.101411272958268,0.994844587720607
6,0.0554093565515587,0.0700118064588028,-0.228059937046476,0.4532904150068,0.128869517246058,-1.59038268766836,0.0926693164523104,-0.297638821982407,0.612212506710444,-0.127652398165353,1.60515007709798,4.04628633308291,0.968912421710645,0.247403959254523,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.82079632679489,-3.30820866403366e-18,0.101411272958268,0.994844587720607
7,0.0860995442975904,0.109737454482698,-0.29594853664774,0.731051541982673,0.0459402049499777,-1.55428083979096,0.0426536431441621,-0.225944984781571,0.810651391678138,0.201259335153392,1.7521260527051,3.41541189474127,0.955336489125607,0.29552020666134,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.87079632679489,-2.20458267412577e-18,0.101411272958268,0.994844587720607
8,0.119610040524236,0.153827107559504,-0.361300795181888,0.940496345495415,-0.0984743299227733,-1.42138969646186,0.0312108251320497,-0.149863948081693,0.973948340248468,0.560343833303201,1.50636760747555,2.89206648812462,0.93937271284738,0.342897807455452,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.92079632679489,-3.08748346605208e-18,0.101411272958268,0.994844587720607
9,0.154306163124954,0.200759921418659,-0.421864948131911,1.06587200029138,-0.257504525337035,-1.24113187577344,0.0463639388128827,-0.0859506303164882,1.11187504754521,0.690380979101028,1.25155641488248,2.48751772427549,0.921060994002887,0.389418342308651,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.97079632679489,-3.52893386201523e-18,0.101411272958268,0.994844587720607
10,0.188948484331064,0.249554816285696,-0.476801212472645,1.12037644311848,-0.397649248154211,-1.05874936044406,0.0743247750021103,-0.0380777118948502,1.23244718528195,0.720132134672951,0.945985634571121,2.20475809856968,0.900447102352679,0.434965534111231,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.02079632679489,-5.736185841831e-18,0.101411272958268,0.994844587720607
11,0.222502210613119,0.299515115431479,-0.526259043263525,1.12320450983366,-0.506439105314333,-0.894517115712039,0.107566094097087,-0.00663389523911277,1.34105396775644,0.700982243027905,0.699391019501593,2.00809430830983,0.877582561890375,0.479425538604204,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.07079632679489,-6.83981183173888e-18,0.101411272958268,0.994844587720607
12,0.254037468957471,0.35008868502375,-0.570735931902406,1.09362825461606,-0.581093011676956,-0.755671350607905,0.141407202411106,0.0114983189681831,1.44125917003418,0.638660828894319,0.518101645104594,1.88003924775747,0.852524522059509,0.52268722893066,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.12079632679489,-5.95691103981257e-18,0.101411272958268,0.994844587720607
13,0.282706465716989,0.400807046667985,-0.610831811494962,1.04591165149142,-0.623653135621215,-0.643093470989615,0.172708941663573,0.0194878165282426,1.53571755162791,0.551756674186555,0.389581938897644,1.80185010687065,0.825335614909682,0.564642473395037,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.17079632679488,-6.39836143577573e-18,0.101411272958268,0.994844587720607
14,0.307759995465958,0.451251378141123,-0.647105505764267,0.990051743104698,-0.638343635369714,-0.554327823877589,0.199635149097867,0.020076203420164,1.62639202009044,0.451402994772791,0.306439914699945,1.75755413759947,0.79608379854906,0.605186405736042,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.22079632679488,-6.83981183173888e-18,0.101411272958268,0.994844587720607
