step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
1,0.282842712474619,5.82044363970724,1,1,0,0,1.44579379448938,0.08,0.282842712474619,2.09031969618399,1.44579379448938,0.0385053266505258,0.196227741796428,0,0.0130953
2,0.320765054267683,4.97605125244775,0.989895221881223,3.16060130688113,-0.0252587135769,-0.0252587135769,3.32862224494613,0.0914451100196748,0.302398925295172,6.58502287286709,2.56612994076042,0.310954872509123,0.557633277799239,0,0.0104875
3,0.361325804709255,11.6460911851669,0.925946836983777,3.22345483900729,-0.0256140894728707,-0.0256140894728707,3.3793358342211,0.10448218572938,0.323237042631843,8.19665214206166,2.86297959162507,0.321018421979469,0.566584876236093,0,0.0122978
4,0.399148438550087,19.1136221276098,0.780298912817371,2.11874982576385,-0.0289542571794217,-0.0289542571794217,2.31701807141864,0.118191508296278,0.343789918840385,7.48963229236638,2.73671925713369,0.35455681433802,0.595446735097288,0,0.0137899
5,0.42850689688476,22.996530870187,0.64343313064724,0.651089324277048,-0.0283853493128512,-0.0283853493128512,1.08749053806179,0.131276838772584,0.362321457786568,6.22823296796789,2.49564279654919,0.325790958349552,0.570781007348311,0,0.0193515
6,0.447298919999032,23.2767576017032,0.53595795967849,0.409533390264793,-0.0192001403959521,-0.0192001403959521,0.905587567199287,0.14274341961587,0.377814001349698,5.32687561361756,2.30800251594697,0.27808690279573,0.527339456892551,0,0.0169409
7,0.455910164647111,21.3887202452902,0.449189101860186,0.91509849911166,-0.0123080630481434,-0.0123080630481434,1.17744883610262,0.152044942274825,0.389929406783876,4.76394849190639,2.18264712949812,0.238414719317537,0.488277297565161,0,0.0164565
8,0.455699807037083,18.4654953859481,0.38792332492969,1.12989888329837,-0.0093709399326376,-0.0093709399326376,1.31859208441667,0.158997113757176,0.398744421600072,4.38579056605388,2.09422791645367,0.209192097398368,0.457375226043528,0,0.019195
9,0.448119947691672,15.188700665994,0.368562801529759,1.16558493546771,-0.0104662186879199,-0.0104662186879199,1.32872588577583,0.163643155286289,0.404528312094825,4.0946485564402,2.02352379685543,0.186636096318107,0.432014000141323,0,0.019904
10,0.434509833588112,11.9535021402666,0.390669209549707,1.1116755211773,-0.0145461479476285,-0.0145461479476285,1.27309438802238,0.166158719306137,0.40762570981985,3.84726063287759,1.96144350743976,0.168234330940736,0.410163785506151,0,0.02293
11,0.416106533978412,8.9736585866723,0.433366018888797,1.0144166302325,-0.0204637821477136,-0.0204637821477136,1.1893366399159,0.166793803698263,0.408403971207753,3.62610254289294,1.90423279640199,0.152954759745673,0.391094310551397,0,0.0116241
12,0.394065672499755,6.38354708145482,0.476426995865192,0.898146378880795,-0.0272805071617079,-0.0272805071617079,1.09606131894107,0.165834966243631,0.407228395674505,3.42403986555843,1.85041613307884,0.140281211007886,0.374541334178067,0,0.0144848
13,0.369455297386645,4.32184585996698,0.509065140430737,0.775690768780601,-0.0343114913235425,-0.0343114913235425,1.00151408079062,0.163578216283895,0.404448039040734,3.23780837236331,1.79939111156061,0.129744416848963,0.360200523110341,0,0.0190972
14,0.343236364040393,3.04256051792128,0.527523732228457,0.65414065047589,-0.041090964941874,-0.041090964941874,0.909292239536456,0.16030914380645,0.400386243278225,3.06559437268602,1.75088388326754,0.120866427028316,0.347658491954844,0,0.0107433
15,0.316245162347223,2.836134391681,0.531777153302796,0.53772759110022,-0.0473198408109345,-0.0473198408109345,0.821218085618266,0.156289267733221,0.395334374590955,2.90618135745005,1.70475257954052,0.113227279521662,0.336492614364212,0,0.011861
16,0.28918447484586,3.38980824642597,0.523523870984535,0.429112425846637,-0.052817054924998,-0.052817054924998,0.738473205898357,0.151747917280637,0.389548350375967,2.75862893984879,1.66091208071011,0.10651142317587,0.326360878746014,0,0.0155022
17,0.262624016619619,4.12061901541089,0.505117806143926,0.329969377317247,-0.0574810127591205,-0.0574810127591205,0.661942153032624,0.146878708858566,0.383247581673474,2.62213120303189,1.61929960261586,0.100508858909991,0.317031321654488,0,0.0127779
18,0.23700797139637,4.76739603024628,0.479019059988189,0.24127180140338,-0.0612620378504398,-0.0612620378504398,0.592256266306411,0.141839490505613,0.376615839424756,2.49594432980674,1.57985579399094,0.0950895911697366,0.308366001968013,0,0.0119108
19,0.212666908203195,5.25806487590758,0.447523658264836,0.163459624552616,-0.0641445257140454,-0.0641445257140454,0.529759870341213,0.13675463383925,0.369803507067267,2.37934965561817,1.54251406982827,0.0901728257725955,0.300287904805697,0,0.018754
20,0.189831808311923,5.58394835574922,0.412643669552765,0.0965645598748774,-0.0661365652789274,-0.0661365652789274,0.474482607506827,0.131718707919636,0.362930720550956,2.27163886007858,1.50719569402204,0.0857027868424089,0.292750383163556,0,0.0118805
21,0.168648628420343,5.75780931441407,0.376067684163132,0.0403737462698622,-0.06726457520042,-0.06726457520042,0.426143275388149,0.126800786583847,0.356090980767341,2.17211310917763,1.47380904773231,0.0816341823427017,0.285716961944337,0,0.0139231
