step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
1,2.64655306387507,0.115054722737009,-0.149999999999998,0.0499999922891519,2.6624259031943,-6.8604150104745e-05,-4.17913582373182e-21,1.19677286744223e-35
2,1.90125289801095,-0.0537182423235874,-0.0297668300973397,0.0159914570217306,2.6624259031943,-6.8604150104745e-05,7.03921296187997e-22,1.01264000216898e-19
3,3.23973358117158,-0.0647986007980285,0.0581238948232546,-0.0171174254249441,2.6624259031943,-6.8604150104745e-05,-9.12455285850484e-21,-6.47285040179232e-20
4,3.33036662999694,0.0202727578105645,0.0926072066032065,0.00610828705761098,2.6624259031943,-6.86041501047449e-05,-1.94226362946715e-20,-2.62977525692152e-19
5,3.11703766676862,-0.0122277457935057,0.0622730278502727,-0.00546846343897706,2.6624259031943,-6.86041501047449e-05,-1.33902493914151e-20,-1.99172366316684e-19
6,2.85881751602564,0.00469849039709411,0.0310458178350211,-0.00322357575671902,2.6624259031943,-6.86041501047449e-05,-1.54551471297764e-20,1.67383398482793e-21
7,2.6766123172586,0.00277303473091495,0.0128013300826217,-0.00290088623702459,2.6624259031943,-6.86041501047451e-05,-1.19428510619806e-20,-2.63673804087111e-19
8,2.59447935385319,0.00307194076359908,0.00152403570772393,-0.00219651761363396,2.6624259031943,-6.8604150104745e-05,-4.80829030678255e-20,-9.97823071309929e-22
9,2.58391511519841,0.00221086756780143,-0.00408355097233365,-0.00150746954351148,2.6624259031943,-6.86041501047451e-05,3.91491626038242e-20,9.36056452648753e-19
10,2.61172343878014,0.00121792213098679,-0.00672973025894988,-0.000870762593803417,2.6624259031943,-6.86041501047451e-05,-2.14364270974279e-20,8.67037305346763e-24
11,2.65250686121045,0.000256024529148729,-0.00777536954001013,-0.000314079457343616,2.6624259031943,-6.8604150104745e-05,0,-1.32671651442706e-19
12,2.69086123647583,-0.000592094032575655,-0.00795679272778325,0.000148732073394905,2.6624259031943,-6.8604150104745e-05,4.26048085699904e-20,-1.30989851310421e-19
13,2.71936858055771,-0.0012852057584373,-0.00765976318156249,0.000516086335075294,2.6624259031943,-6.8604150104745e-05,-4.74087535572692e-20,2.67025103017697e-19
14,2.73590137049498,-0.00181059317699555,-0.00708878752580932,0.000793492595251224,2.6624259031943,-6.8604150104745e-05,-3.077627144712e-20,1.36010649039309e-19
15,2.74137731652799,-0.002171052455549,-0.00636310507152436,0.000989629269756364,2.6624259031943,-6.86041501047451e-05,3.43452176165454e-20,6.73062994661687e-19
16,2.73816285055637,-0.00237900900587476,-0.00555999452764405,0.00111412904136119,2.6624259031943,-6.8604150104745e-05,-3.09102942595528e-20,4.03060354724974e-19
17,2.72904686286063,-0.00245277772190824,-0.00473389168512586,0.00117659464427413,2.6624259031943,-6.86041501047451e-05,2.11683814725624e-20,-1.32647048774738e-19
18,2.71664517604889,-0.00241386435680572,-0.0039245915474249,0.00118632721992701,2.6624259031943,-6.8604150104745e-05,-1.495196165996e-20,-2.62302219004231e-19
19,2.70310534052363,-0.00228498936121842,-0.00316097573491007,0.00115233312229931,2.6624259031943,-6.8604150104745e-05,-1.9349802761548e-20,-2.60305164410418e-19
20,2.69000716784523,-0.00208864334902085,-0.00246308466318566,0.00108335806480066,2.6624259031943,-6.86041501047451e-05,2.87059652306776e-21,8.04768687622912e-19
21,2.67838078648023,-0.00184605079781072,-0.00184360819726316,0.000987846201655522,2.6624259031943,-6.8604150104745e-05,-4.8039449872788e-21,1.68180013228505e-21
22,2.66878670188505,-0.00157644783304731,-0.00130914501240588,0.000873813340401513,2.6624259031943,-6.8604150104745e-05,0,0
23,2.66142057247584,-0.00129660164479942,-0.000861325641420032,0.00074866702102537,2.6624259031943,-6.86041501047452e-05,4.32789580805467e-20,1.3468322988024e-19
24,2.6562193659699,-0.00102052142361616,-0.000497826936302819,0.000619017870400393,2.6624259031943,-6.8604150104745e-05,1.84318077619274e-20,-1.37049007073501e-19
25,2.65295576113948,-0.000759330261357465,-0.000213295807053158,0.000490520902026741,2.6624259031943,-6.86041501047449e-05,-5.70166435318268e-20,1.37732984134476e-19
26,2.65131475112892,-0.000521279801922676,-1.96490679156223e-07,0.000367772331464805,2.6624259031943,-6.8604150104745e-05,2.33496108742303e-21,1.32691918924147e-19
27,2.65095103891024,-0.000311892973689072,0.00015041363386313,0.000254273085289575,2.6624259031943,-6.8604150104745e-05,1.8476890403965e-38,7.96614745712101e-24
28,2.65152859128457,-0.000134216742717848,0.000248186176544344,0.000152457952878381,2.6624259031943,-6.8604150104745e-05,-7.20591748091821e-21,2.51473405097046e-21
29,2.65274514858962,1.08397039780029e-05,0.000302876311192875,6.37804185592883e-05,2.6624259031943,-6.86041501047451e-05,-6.70114062163754e-23,-6.71723906009689e-20
30,2.65434499536215,0.000124111672497426,0.000323845706363063,-1.11617267452325e-05,2.6624259031943,-6.8604150104745e-05,1.08088762213773e-20,-3.78803337136993e-21
31,2.6561232186143,0.000207763286444145,0.000319684908717644,-7.2476515359927e-05,2.6624259031943,-6.86041501047451e-05,-2.30795667315593e-20,7.14366748848293e-21
32,2.65792427232745,0.000264880332155898,0.000297957682666309,-0.000120819219945262,2.6624259031943,-6.8604150104745e-05,1.00358347325652e-20,-2.0702959628429e-20
33,2.65963711585878,0.000299097176655467,0.000265060398391333,-0.0001572379463333,2.6624259031943,-6.8604150104745e-05,-4.20345186386895e-21,1.47157511574942e-21
