step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
1,1.2,-0.2,-1,0,0,0,0,0,1.5707963267949,0,0,0,1,0,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.5707963267949,-6.17763623779416e-18,0.101411272958268,0.994844587720607
2,1.19990380136928,-0.199875734303584,-0.999987641143177,0.0101329547800553,0.00746353233640262,-0.000280670403628532,0.0459818075090925,-0.0617481969826715,1.595537613218,1.86440494333363,-2.45021083847122,1.0460249432877,0.998750260394966,0.0499791692706783,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.6207963267949,-6.39836143577573e-18,0.101411272958268,0.994844587720607
3,1.1988466493869,-0.198481399151558,-0.99641538059356,0.0838088156507856,0.0489905478740626,0.124784553771866,0.110022892598998,-0.201465716513699,1.64518223732202,0.9530450919753,-2.95367936020183,1.38057425336574,0.995004165278026,0.0998334166468282,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.67079632679489,-6.39836143577573e-18,0.101411272958268,0.994844587720607
4,1.19480428737263,-0.192316007174991,-0.991403451897218,0.226281472114404,0.0977903277851498,-0.0257504318835392,0.11802183828739,-0.331930054179872,1.69184206961547,-0.135679497509932,-2.01280933601422,1.02246911895268,0.988771077936042,0.149438132473599,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.72079632679489,-6.61908663375731e-18,0.101411272958268,0.994844587720607
5,1.18607315133497,-0.176947845143697,-0.99045068091585,0.404842049155438,0.129951403138997,-0.207137249144658,0.100556638942299,-0.400358864581421,1.74241097748204,0.179532027258691,-0.50483320758012,1.15025755112028,0.980066577841242,0.198669330795061,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.77079632679489,-5.07401024788627e-18,0.101411272958268,0.994844587720607
6,1.17243009783642,-0.150840779061583,-0.992383718742041,0.607157837781996,0.142708223567738,-0.335500123774573,0.0810640361929553,-0.405282855843315,1.80159618639894,-0.0197047979522657,0.508409432227169,1.03585455030486,0.968912421710645,0.247403959254523,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.82079632679489,-3.30820866403366e-18,0.101411272958268,0.994844587720607
7,1.15414465513588,-0.114730936673865,-0.99516360171792,0.814796443081228,0.138495949467592,-0.385083580168858,0.0605297030323146,-0.370834829718523,1.85848826374675,0.0652344123781194,1.01379893718662,0.968415726942536,0.955336489125607,0.29552020666134,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.87079632679489,-2.20458267412577e-18,0.101411272958268,0.994844587720607
8,1.13174795501153,-0.0701961210211699,-0.997263836322203,1.00799923398953,0.118524798767285,-0.369286325711177,0.0472793578318197,-0.317537025905563,1.91142538686225,0.121997086403767,1.2213214704965,0.907727730352064,0.93937271284738,0.342897807455452,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.92079632679489,-3.08748346605208e-18,0.101411272958268,0.994844587720607
9,1.10572429917289,-0.0188792388808402,-0.997990911229781,1.17296285166615,0.0880679669495688,-0.313315214779537,0.0410357058603308,-0.257872726646539,1.96033010810697,0.184109591959002,1.24464550628397,0.86177547902081,0.921060994002887,0.389418342308651,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,1.97079632679489,-3.52893386201523e-18,0.101411272958268,0.994844587720607
10,1.07647103450717,0.0377158257269227,-0.997346703517906,1.30371867581415,0.0520847912604137,-0.240134486842797,0.0410305932545235,-0.199115778883382,2.00625017884726,0.231460456642981,1.17619187562838,0.830238459282076,0.900447102352679,0.434965534111231,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.02079632679489,-5.736185841831e-18,0.101411272958268,0.994844587720607
11,1.04431687303581,0.098208974206074,-0.995728216429921,1.40022035380141,0.0147957771397314,-0.165562253274801,0.0458296721524956,-0.144921583889229,2.05033254464717,0.26148603654591,1.06434529594951,0.812021668616733,0.877582561890375,0.479425538604204,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.07079632679489,-6.83981183173888e-18,0.101411272958268,0.994844587720607
12,1.00954827362676,0.161313177235213,-0.993668298203007,1.46562583827391,-0.0208125337432519,-0.0987020747503994,0.0540491761612442,-0.097000482724797,2.09351581963318,0.27461181327538,0.935308944720265,0.805450968672305,0.852524522059509,0.52268722893066,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.12079632679489,-5.95691103981257e-18,0.101411272958268,0.994844587720607
13,0.972425257383302,0.225832271011497,-0.991663297722654,1.50442211317476,-0.0528831685107872,-0.043692326904584,0.0644794350897424,-0.0559962740095532,2.13648483547134,0.272737519440586,0.803272658762115,0.808562518324919,0.825335614909682,0.564642473395037,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.17079632679488,-6.39836143577573e-18,0.101411272958268,0.994844587720607
14,0.933187623082783,0.290678151420603,-0.990085320713698,1.52135539759335,-0.0804216550095685,-0.00148150938108829,0.0761059575356492,-0.0219590862115958,2.17970536185301,0.258472546400696,0.676125852911994,0.81935930357754,0.79608379854906,0.605186405736042,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.22079632679488,-6.83981183173888e-18,0.101411272958268,0.994844587720607
15,0.89205630269288,0.354890903591947,-0.989156392939134,1.52090610287426,-0.103024543368112,0.0288047952078745,0.0881005985439015,0.00540533040552994,2.22347648598395,0.234640174700521,0.558412915036152,0.83595956707652,0.764842187284493,0.644217687237693,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.27079632679488,-6.61908663375731e-18,0.101411272958268,0.994844587720607
