step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
1,0,0,0,0,0,0,0,0,0,0,0,2.72212493830711e-20,1.64988634102689e-10,1,0.0114559
2,3.70299350617584e-14,4.87204105861236e-09,4.43697291176242e-11,3.40248384521013e-09,-8.3310247589452e-11,-8.3310247589452e-11,3.40383542919875e-09,6.85608045339021e-28,2.61841181890668e-14,5.79304781453431e-18,2.40687511402946e-09,6.52024568541937e-14,2.55347717542557e-07,1,0.0106642
3,7.18060969700302e-10,9.22360000095384e-06,6.19678066771516e-08,6.43571635424135e-06,1.43856215828464e-07,1.43856215828464e-07,6.43802770901693e-06,1.71870519192718e-19,4.1457269470229e-10,1.38160707893885e-11,3.71699755036084e-06,5.95190111961411e-14,2.43965184393473e-07,1,0.0102339
4,3.36234626436914e-09,2.23712196360622e-05,1.06732771754593e-07,2.74952702906387e-06,3.50740306354069e-07,3.50740306354069e-07,2.77916433496692e-06,2.95524598977381e-18,1.71908289206013e-09,1.22929916922294e-11,3.50613629116573e-06,5.46007696741565e-14,2.3366807585581e-07,1,0.0109867
5,9.65814827286056e-09,2.54054966532606e-05,8.4261204819069e-08,1.39865345561742e-06,4.11486072771083e-07,4.11486072771083e-07,1.46970635211494e-06,2.10201624039309e-17,4.5847750657945e-09,1.02664007060729e-11,3.20412245491225e-06,4.96850227487947e-14,2.22901374488348e-07,1,0.0099791
6,1.96765787589811e-08,1.92449782406761e-05,1.07123095400305e-07,4.14519305921187e-06,3.29295619883041e-07,3.29295619883041e-07,4.16020539513591e-06,8.2044760613007e-17,9.05785629235787e-09,1.14398854100137e-11,3.3822899653953e-06,4.83150172925834e-14,2.1980677262674e-07,1,0.0102117
7,3.10621833379217e-08,7.08027534840108e-06,1.89149196548928e-07,7.55195141281789e-06,8.27915258572176e-08,8.27915258572176e-08,7.55539429690392e-06,2.08161113913815e-16,1.44277896406142e-08,1.79604707773958e-11,4.23797956311682e-06,4.96031118955935e-14,2.22717560815472e-07,1,0.0110696
8,3.99932322489411e-08,2.54860827554245e-05,2.88814003580727e-07,1.10265742655702e-05,-3.39480374034196e-07,-3.39480374034196e-07,1.10393937490448e-05,3.82073302889306e-16,1.95466954467835e-08,3.09489387235276e-11,5.56317703506977e-06,5.21033135619035e-14,2.28261502583996e-07,1,0.0097898
9,4.17616145328541e-08,6.0727204243934e-05,3.97076580205591e-07,1.41823113259172e-05,-9.34411407138569e-07,-9.34411407138569e-07,1.42274640916341e-05,5.33402096833904e-16,2.30954994930593e-08,5.00013604741064e-11,7.07116401125772e-06,5.43554485578251e-14,2.33142549865581e-07,1,0.0097246
10,3.16250229510065e-08,0.000104183780358001,5.21268454625567e-07,1.65510669007911e-05,-1.67706453413352e-06,-1.67706453413352e-06,1.66588394914094e-05,5.80076094815682e-16,2.4084768938391e-08,7.27529177467499e-11,8.52953209424467e-06,5.53962728901395e-14,2.35364128299407e-07,1,0.0096731
11,1.28750896456438e-08,0.000152488139275767,6.74850702364581e-07,1.76573843712783e-05,-2.51702563835998e-06,-2.51702563835998e-06,1.78695822286187e-05,5.42411716503653e-16,2.32897341441171e-08,9.51682860448058e-11,9.75542341699251e-06,5.51609606877816e-14,2.34863706621056e-07,1,0.0091411
12,5.09197266534851e-08,0.000201301693441773,8.67432512173796e-07,1.7173065709343e-05,-3.38069848671019e-06,-3.38069848671019e-06,1.75503002303431e-05,7.13278953667153e-16,2.67072827833e-08,1.12905348722337e-10,1.06256928584604e-05,5.44438366087102e-14,2.33332030824553e-07,1,0.0090932
13,1.23269524230716e-07,0.000245699856739333,1.09634959697709e-06,1.50823868503641e-05,-4.18081330755271e-06,-4.18081330755271e-06,1.57189326334237e-05,1.82728638831331e-15,4.27467705015631e-08,1.23226848292474e-10,1.11007589061502e-05,5.44078599865099e-14,2.33254924892294e-07,1,0.0093323
14,2.196997819213e-07,0.000281039990030383,1.34382683886225e-06,1.18205917198234e-05,-4.83160262398918e-06,-4.83160262398918e-06,1.28701309176539e-05,5.14447980173854e-15,7.17250291163311e-08,1.26256378402836e-10,1.12363863587381e-05,5.59628552011463e-14,2.36564695593291e-07,1,0.0090813
15,3.36956675569663e-07,0.000303879868413798,1.57971110849676e-06,8.46243996269199e-06,-5.26524728639011e-06,-5.26524728639011e-06,1.01168767767096e-05,1.23708345623533e-14,1.11224253480764e-07,1.24662699556989e-10,1.11652451633177e-05,5.93510513872303e-14,2.43620712147449e-07,1,0.0091861
16,4.69716500444391e-07,0.000312608428774858,1.7678165129696e-06,7.01744379951267e-06,-5.44418669923274e-06,-5.44418669923274e-06,9.07517317104889e-06,2.53872568265641e-14,1.59333790598743e-07,1.2201870383996e-10,1.10462076677908e-05,6.40564834505429e-14,2.53093823414446e-07,1,0.0093041
17,6.10737250833771e-07,0.000307581683194304,1.87402727907034e-06,8.50987704593174e-06,-5.36552075436347e-06,-5.36552075436347e-06,1.02528908609953e-05,4.58350646341775e-14,2.14091253053873e-07,1.2102476661452e-10,1.10011256976057e-05,6.90099208412166e-14,2.62697394051057e-07,1,0.0092367
18,7.51612520017895e-07,0.000290771590368245,1.87418592276121e-06,1.09775371673605e-05,-5.05705884323859e-06,-5.05705884323859e-06,1.22612660845276e-05,7.46731932793704e-14,2.73263962643028e-07,1.22653315469024e-10,1.1074895731745e-05,7.30150607047811e-14,2.70212991369366e-07,1,0.0092366
19,8.83712689186127e-07,0.000265117880757376,1.75995697780266e-06,1.29728461231801e-05,-4.5676103428427e-06,-4.5676103428427e-06,1.39134441198412e-05,1.11845557687223e-13,3.34433188674843e-07,1.26386505564125e-10,1.12421753039225e-05,7.52249593400411e-14,2.74271688914553e-07,1,0.00916
20,9.99105911863597e-07,0.000233836792080874,1.54209173274177e-06,1.40996454084492e-05,-3.95540643616243e-06,-3.95540643616243e-06,1.479299268758e-05,1.56163910958902e-13,3.9517579753687e-07,1.31008811918658e-10,1.14459080862402e-05,7.54278625359962e-14,2.74641334354456e-07,1,0.0093049
