step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
1,2.64955995214255,4.13213180300952e-05,-1.91803037587778e-11,-1.58978836252761e-10,2.649559952143,4.13212782948039e-05,2.52937734830482e-21,-7.12129677561969e-23
2,2.64956817705426,4.1388160317285e-05,-8.44800390251823e-06,0.000135291474975481,2.64956802535007,4.12225265175267e-05,-8.51722445010798e-06,0.000135017313189379
3,2.64959226415727,4.08112830548466e-05,-1.70335267194962e-05,0.0002714208234496,2.6495921599193,4.09246130671214e-05,-1.70139819467965e-05,0.00027157593913034
4,2.64963214448246,4.02846560717967e-05,-2.55320219952764e-05,0.000411099121744325,2.64963210156302,4.04225077457616e-05,-2.54695871562009e-05,0.000411222015086368
5,2.64968739842939,3.96449634131413e-05,-3.39201712757932e-05,0.000555360588803289,2.64968742935364,3.97076398322318e-05,-3.38628883104862e-05,0.000555508426735669
6,2.64975745741586,3.87224720864718e-05,-4.22172567697142e-05,0.000705826674780947,2.64975756002007,3.87676145835087e-05,-4.21719573110596e-05,0.000705990526790723
7,2.64984159132721,3.75671630638323e-05,-5.04148497895246e-05,0.000864041625289499,2.64984175390044,3.75858116798397e-05,-5.03736807129339e-05,0.000864211504545646
8,2.64993891403605,3.6153980011592e-05,-5.84747121401172e-05,0.00103151385802057,2.64993912248966,3.61408639833984e-05,-5.84432064181745e-05,0.00103167193134681
9,2.65004840331426,3.44533803233607e-05,-6.63681147189947e-05,0.00120965338671847,2.65004863750391,3.4406019676048e-05,-6.63531900627383e-05,0.00120977611388762
10,2.65016890830875,3.24286105170839e-05,-7.40634153399382e-05,0.00139968272482929,2.65016914136878,3.23484009858814e-05,-7.40727713604596e-05,0.00139974537951537
11,2.65029915931601,3.00334614795068e-05,-8.15265838893832e-05,0.00160250187655596,2.65029935902313,2.99281914725079e-05,-8.15661947424246e-05,0.00160248532032949
12,2.65043777799465,2.72134794152262e-05,-8.87201708062508e-05,0.00181849300306302,2.65043791091767,2.70978157645005e-05,-8.87909724414431e-05,0.0018183905531316
13,2.65058328899564,2.39081260500647e-05,-9.55998867052702e-05,0.00204724610007055,2.65058332707495,2.38012268900385e-05,-9.56954760555615e-05,0.00204706732268933
14,2.6507341343975,2.0052752218173e-05,-0.00010210902210464,0.00228718339151888,2.65073406206718,1.9973494522812e-05,-0.000102215843077445,0.00228695262406854
15,2.6508886915898,1.55792560002934e-05,-0.000108171644052093,0.0025350610509929,2.65088851075924,1.55410004564251e-05,-0.000108272113077495,0.00253481099381058
16,2.65104529392342,1.04154531943554e-05,-0.00011368615186206,0.00278533789650562,2.65104502465664,1.04227002617021e-05,-0.000113763589108993,0.00278510107522415
17,2.65120225228051,4.48486036373732e-06,-0.000118520376664965,0.003029428542219,2.65120192869287,4.5330970266083e-06,-0.000118563590661557,0.00302923014430021
18,2.65135787548858,-2.29054384615682e-06,-0.000122508404423655,0.00325491036539324,2.65135753828612,-2.21223425912836e-06,-0.000122514073579228,0.00325476465194366
19,2.65151048830359,-9.98244727702573e-06,-0.000125448805430617,0.00344483636759593,2.65151017649357,-9.88760655534618e-06,-0.000125421088780049,0.00344474684289649
20,2.65165844690636,-1.8642306836563e-05,-0.000127104636811297,0.00357742118969929,2.65165819109059,-1.85437776249247e-05,-0.000127052754420654,0.00357738322222115
21,2.65180015274872,-2.82817912861374e-05,-0.000127207142948986,0.00362649801051661,2.65179997140362,-2.8189715210345e-05,-0.000127142253054292,0.00362650225890077
22,2.65193406580612,-3.88491919308318e-05,-0.000125466569522405,0.00356323597437043,2.65193396472842,-3.87703599094092e-05,-0.000125399080157748,0.00356327143307186
23,2.65205871797202,-5.02050882979982e-05,-0.000121593947563929,0.00335955708299966,2.6520586921698,-5.01431994170084e-05,-0.000121531836491733,0.00335961319455815
24,2.652172726812,-6.210282551286e-05,-0.000115336314511193,0.00299336166908992,2.65217276374531,-6.20591430811362e-05,-0.000115284503664007,0.00299342947373317
25,2.65227480946659,-7.4181572520027e-05,-0.000106524136672959,0.00245497627685648,2.65227489260292,-7.41556224653759e-05,-0.000106484667152755,0.0024550488206191
