state_1_error,state_2_error,state_3_error,state_4_error,state_5_error,state_6_error,state_7_error,state_8_error,state_9_error,state_10_error,state_11_error,state_12_error
0,0,0,0,0,0,0,0,0,0,0,0
3.34177130412172e-14,1.56680224350225e-14,2.99760216648792e-15,1.32055477664039e-12,4.41782685517504e-11,3.89994677177374e-12,9.16399106658684e-10,3.35200968751201e-10,4.77332557706554e-09,6.45348311898927e-10,3.14158969672018e-10,3.32591731933007e-09
1.54061208235134e-10,6.44117259529509e-11,6.98375135499418e-10,4.45454451103444e-09,6.01028991807425e-08,1.44155335539669e-08,3.90905940873834e-06,1.3629569562698e-06,8.24235402369405e-06,2.70299387746063e-06,1.11949876385048e-06,5.73227630251694e-06
2.00082483914343e-09,9.3760148256461e-10,2.53435905595012e-09,2.87457429526405e-08,1.0212376599743e-07,1.16748981589081e-08,9.1403053148584e-06,3.61656080359483e-06,2.00959392592137e-05,8.64876452035673e-07,7.9109501215785e-07,2.48717837880719e-06
7.37869076949949e-09,3.79015935303428e-09,4.94665974848374e-09,6.57663815073484e-08,5.04777341850849e-08,1.50576243986532e-08,8.53377050802254e-06,4.09471156520521e-06,2.35764152981961e-05,1.377999652016e-06,2.24330091114222e-07,8.38120407520293e-08
1.59574905511661e-08,8.89271158099891e-09,7.31067217873971e-09,9.38642528702793e-08,4.34196824126011e-08,2.79211529209678e-08,3.16346369417442e-06,2.09489650779434e-06,1.88672492314425e-05,2.40366594827287e-06,1.14624314446338e-06,3.17665581406334e-06
2.5573244633037e-08,1.515185230061e-08,9.01608365744266e-09,9.3126611755423e-08,1.58201019879339e-07,4.55772974977328e-08,4.92946372751444e-06,1.82452675159273e-06,4.74360501106679e-06,3.15050103655463e-06,1.8672441814277e-06,6.60452212708496e-06
3.3127091403351e-08,2.02630182355445e-08,9.5637091579448e-09,4.90582009460283e-08,2.76977451214811e-07,6.55004816991003e-08,1.48255411885307e-05,7.17010513127849e-06,1.9450792659682e-05,3.47213252845351e-06,2.51692076834453e-06,1.0158481460576e-05
3.51124085362642e-08,2.09039806298161e-08,8.61247984040858e-09,4.90662084851046e-08,3.84463124495542e-07,8.63158365295089e-08,2.52567741360438e-05,1.35495187708695e-05,5.35378299579204e-05,3.28223262223079e-06,3.00772842092012e-06,1.34654548124002e-05
2.82102032844733e-08,1.29714652352675e-08,6.0056304374001e-09,2.07277248254201e-07,4.66426875240416e-07,1.0584381983543e-07,3.47408760143892e-05,2.03541041332899e-05,9.60887197769244e-05,2.53903573092795e-06,3.23032880652357e-06,1.60329688115857e-05
9.91597071120509e-09,8.01030558550409e-09,1.81010018085459e-09,4.2490088991709e-07,5.10096489545094e-07,1.21178692778084e-07,4.17146174003089e-05,2.673149198835e-05,0.000144214946004249,1.26273801894818e-06,3.06325424826587e-06,1.73437363027995e-05
