step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
1,1,0,-1,0.5,3.06062330678537e-17,0,0.0254786850875829,1.55944441295558e-18,1.5707963267949,-3.11888882591116e-18,0.0509518570775537,0.499837717930802,1,0,-1,0.5,3.06062330678537e-17,0,0.0254786850875829,1.55944441295558e-18,1.5707963267949,-3.11888882591116e-18,0.0509518570775537,0.499837717930802
2,0.999687516435531,0.0249895832281219,-0.999999993782125,0.499530465711695,1.17317991856057e-05,0.000954429141919524,0.0255264806746897,0.00190963136797966,1.59584504796109,0.000955033016457475,0.0509492133884309,0.499837714604884,0.999687516435564,0.0249895832281062,-0.999999993782128,0.499530465710374,1.17317550073372e-05,0.000954429145819471,0.0255264806586956,0.00190963137383002,1.5958450480444,0.000955032371109163,0.0509492137025899,0.499837717930802
3,0.998750261813155,0.049916670197549,-0.999999938593636,0.498123979609894,5.85756879947426e-05,0.00190011261318698,0.0256700489681457,0.00381135134244724,1.6209646840936,0.00191154154420675,0.0508036649558686,0.502668080190146,0.998750261967216,0.0499166702619608,-0.99999993789526,0.498123984064438,5.86357908939233e-05,0.00190012702872053,0.0256699807421884,0.00381132755436079,1.62096454023738,0.00190883855032929,0.0508025454571047,0.502662347913843
4,0.997188821489253,0.0747188426855966,-0.999999760554599,0.495788640750906,0.000140695064809687,0.0028251987259324,0.0259098001088037,0.0056918660046563,1.64629723108678,0.00285982932559537,0.0505128855677217,0.508346340094949,0.997188823490078,0.074718843623198,-0.99999975802024,0.495788669496649,0.000140797188575684,0.00282521040083056,0.0259096405803813,0.00569180288376268,1.64629688034647,0.00285896444914334,0.0505120944727096,0.50834385291657
5,0.995004168349145,0.099333909795069,-0.999999385166293,0.492539239784768,0.000258457157404886,0.00371798094543515,0.0262464084699227,0.00753763974455316,1.67198696717277,0.00380148415376536,0.0500781383491877,0.516946740131441,0.995004175727835,0.0993339135852284,-0.999999380219633,0.49253930555115,0.000258507635139071,0.00371799600305955,0.0262462595275297,0.00753756827835442,1.6719865556867,0.00380286215341738,0.0500783626792788,0.516946823943482
6,0.992197663095779,0.123700064725697,-0.99999873833453,0.488397415769346,0.000412307665214191,0.00456709641494533,0.0266810151066919,0.00933484261492131,1.69818240740503,0.00473541989510737,0.0495009719114573,0.528565162491343,0.99219767905327,0.123700073618408,-0.999998731023858,0.488397509633599,0.000412264245531778,0.00456712433609825,0.0266809598938346,0.00933480605207976,1.69818207810941,0.00473782356105564,0.0495021181546017,0.528568339147157
7,0.988771051532765,0.147756039644191,-0.999997746528292,0.483391869512309,0.000602926109632676,0.00536163456192926,0.0272150659200453,0.0110692056842719,1.72503768494974,0.00565775738634932,0.0487825389493951,0.543331410917723,0.98877107710601,0.147756054796044,-0.999997737512208,0.483391962638921,0.000602767908612797,0.00536168013922676,0.0272151519554177,0.011069237528271,1.72503760215821,0.00566090788738588,0.0487844061935765,0.54333801543985
8,0.984726461092333,0.171441258510488,-0.999996336952392,0.4775586599269,0.000831197203308898,0.00609124282699491,0.0278502221209305,0.0127258561857355,1.75271419745857,0.00656538829483662,0.0479240500816978,0.56140759554721,0.984726494219424,0.171441278773507,-0.999996327388683,0.477558708985101,0.000830920225857684,0.00609130832747661,0.0278504808754377,0.0127259813276778,1.75271453693895,0.00656886042736507,0.0479265670024662,0.561417754028671
9,0.980066397557153,0.194695988051883,-0.999994437665102,0.470941582551173,0.00109820208593352,0.00674623787243066,0.0285883086199023,0.0142891644975585,1.78138219332689,0.00745473762550204,0.0469272550901038,0.582987383371908,0.980066432669561,0.194696008955864,-0.999994429052622,0.470941533484964,0.00109781762280902,0.00674632418826719,0.0285887494337694,0.0142894009812731,1.7813831277383,0.00745801985812427,0.0469302628185248,0.583000848826721
10,0.97479374154993,0.217461486502106,-0.999991977669866,0.463592629112518,0.00140520700399365,0.00731771085855201,0.0294312018940858,0.0157425865594868,1.81122228593431,0.00832167229175854,0.0457942880564817,0.608293939579408,0.974793769760133,0.217461499473572,-0.999991971664236,0.46359242183527,0.00140474057711841,0.00731781670237184,0.0294318082367573,0.0157429418056202,1.81122396299884,0.00832421132748947,0.0457975183852883,0.60830997254822
11,0.968911744842881,0.239680149601373,-0.999988887015347,0.45557253580537,0.00175364517025153,0.00779762275139628,0.0303806743609914,0.0170684925295913,1.84242681581129,0.00916135997203919,0.0445277168922263,0.637576004952405,0.968911754758852,0.239680141591068,-0.999988885205247,0.45557211090448,0.00175313507376199,0.00779774393008906,0.0303814024184112,0.0170689590821405,1.84242933283693,0.00916262271005814,0.0445307801464745,0.637593348688708
12,0.962424026598014,0.261295653470039,-0.999985096880856,0.446951425419027,0.00214508844324886,0.0081788904899849,0.0314381796513501,0.0182479910302304,1.87520094327221,0.00996808549814296,0.0431305879978345,0.671101148813408,0.962424005701862,0.261295607179468,-0.99998510053495,0.446950732860597,0.00214458231995793,0.00817901949075046,0.0314389607606274,0.0182485429055559,1.8752043239707,0.00996766189304671,0.0431330013147985,0.671118146185141
13,0.955334569674751,0.282253094036564,-0.999980539627468,0.437809543647087,0.00258120292519098,0.00845546292616959,0.0326045614570223,0.019260758505549,1.90976329850615,0.0107350799248279,0.0416064933644073,0.709144935488367,0.955334506084644,0.282252988892158,-0.999980549442139,0.437808552616002,0.00258075139520128,0.0084555892610185,0.0326053097984148,0.0192613501620906,1.90976747931946,0.0107327940447798,0.0416077621502193,0.709159789556095
14,0.947647717146809,0.302499122786908,-0.999975148796378,0.4282380818437,0.0030636801459118,0.00862238595058125,0.0338796671613325,0.0200848918905697,1.94634594360588,0.0114543769600497,0.0399597013672458,0.751974351807834,0.947647601459504,0.302498936690904,-0.999975164693511,0.428236789817845,0.00306332788003788,0.00862249752350298,0.0338802922324896,0.0200854616666628,1.94635077520851,0.0114503599149135,0.0399594372879236,0.751985465762985
15,0.939368169118828,0.321982078675429,-0.999968859048798,0.418340064407216,0.00359413352993133,0.00867585658729951,0.0352618453914159,0.0206968148260022,1.98519330736328,0.0121166936530226,0.0381953893988747,0.799823376735008,0.93936799596159,0.321981790380285,-0.999968880079304,0.418338502964708,0.00359390968979517,0.00867594191064669,0.0352622666701256,0.0206972933381414,1.98519857261056,0.0121113798772234,0.0381934245668744,0.799829662919231
16,0.930500979834289,0.34065211605484,-0.999961606063017,0.40823125683303,0.0041739488101559,0.00861326597462829,0.0367473059076857,0.0210712831744082,2.0265596375525,0.0127113150168547,0.0363200020286179,0.852858126755779,0.930500748787112,0.340651707819959,-0.999961630457149,0.408229491995717,0.00417385958720775,0.00861331660808819,0.0367474658610702,0.0210716051804479,2.0265650817392,0.0127053543899229,0.0363164519991336,0.852859181618197
17,0.92105155495983,0.358461328426801,-0.999953326423964,0.398041018180042,0.00480407716206558,0.00843323102400041,0.0383293236698039,0.0211815545205881,2.07070438323282,0.0132259644412702,0.0343417334409623,0.911128794046692,0.921051270648932,0.35846078849755,-0.999953351795351,0.398039144367541,0.00480410268968239,0.00843324340521122,0.038329195684227,0.0211816711060287,2.07070974875358,0.0132200806765909,0.0343369802556822,0.911124894488996
18,0.911025648868063,0.375363867705747,-0.999943957548165,0.387912977424195,0.00548476125507796,0.00813561427484768,0.0399972812348869,0.0209998079191746,2.11788479177524,0.013646671895159,0.0322711140606158,0.974505960201902,0.911025320235648,0.375363192160117,-0.999943981217102,0.387911105874061,0.00548485768378558,0.00813559030668117,0.0399968709343837,0.0209996954966031,2.11788984883408,0.0136415185128781,0.032265715524631,0.97449791006013
19,0.900429361751372,0.391316058578276,-0.999933437677876,0.37800535618084,0.00621518809245721,0.00772153128963429,0.0417355707719113,0.0204979219827596,2.16834492355553,0.0139576970954971,0.0301216776904701,1.04260031931055,0.900429000700147,0.391315252219206,-0.999933457047442,0.378003600233197,0.0062152939604666,0.00772147754575762,0.0417349114890604,0.0204975857151015,2.16834949116587,0.0139537552946865,0.0301162390007251,1.04258922077025
20,0.889269136473303,0.406276507481741,-0.999921705957158,0.368490692738893,0.00699307067651812,0.00719334504061702,0.0435224245543887,0.0196487351515279,2.22230032167025,0.0141416039143185,0.0279106879501136,1.11466802574561,0.889268756201909,0.406275583663755,-0.999921718865185,0.368489153084861,0.00699311568079087,0.00719327096641191,0.0435215692625881,0.0196482063714828,2.22230427707668,0.014139140900891,0.0279057407025009,1.11465505430365
21,0.8775517551618,0.420206205743154,-0.999908702580086,0.359554652695823,0.00781417628974966,0.00655464710018023,0.045328813992421,0.018427908881693,2.27991782723761,0.014179602063501,0.0256598910734576,1.18950947322886,0.877551368523142,0.420205185236367,-0.999908707562408,0.359553405400466,0.00781409043786082,0.00655456286531695,0.0453278263085835,0.0184272378884544,2.2799211052119,0.0141786822939038,0.0256558123946138,1.18949570748819
