step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
1,5.29739999860599,0.0816834734244272,-0.0928778748473226,0.0499999999985244,2.649559952143,4.13212782948039e-05,2.52937734830482e-21,-7.12129677561969e-23
2,4.7002585546376,0.00777455599039115,0.0705510513100547,0.05,2.64956802535007,4.12225265175267e-05,-8.51722445010798e-06,0.000135017313189379
3,3.92367630233866,-0.0901036640298285,0.0353598034425511,0.0499999999971438,2.6495921599193,4.09246130671214e-05,-1.70139819467965e-05,0.00027157593913034
4,3.31176737035745,0.00960017410030007,0.00575892953012727,0.0499999969236129,2.64963210156302,4.04225077457616e-05,-2.54695871562009e-05,0.000411222015086368
5,2.775972063423,0.00107790391762344,0.0231629320003921,-0.0222147841301057,2.64968742935364,3.97076398322318e-05,-3.38628883104862e-05,0.000555508426735669
6,2.50341225204289,-0.0059076266599262,0.0046214590096818,-0.0220163648385179,2.64975756002007,3.87676145835087e-05,-4.21719573110596e-05,0.000705990526790723
7,2.347219367979,-0.000238876388887223,-0.00237202612773319,-0.0183895123282379,2.64984175390044,3.75858116798397e-05,-5.03736807129339e-05,0.000864211504545646
8,2.26410617394688,-0.000740569699448685,-0.00311320787786829,-0.0153979508424054,2.64993912248966,3.61408639833984e-05,-5.84432064181745e-05,0.00103167193134681
9,2.2353129900555,-0.00143173845012122,-0.00469846986104738,-0.0125660350277145,2.65004863750391,3.4406019676048e-05,-6.63531900627383e-05,0.00120977611388762
10,2.23550180573994,-0.00145270852186458,-0.00494767326935095,-0.0101872095367502,2.65016914136878,3.23484009858814e-05,-7.40727713604596e-05,0.00139974537951537
11,2.25131810735368,-0.00165095093887726,-0.00457549996383769,-0.00813168334010833,2.65029935902313,2.99281914725079e-05,-8.15661947424246e-05,0.00160248532032949
12,2.27487426842543,-0.00172917941207908,-0.00406516141961232,-0.0063643789155174,2.65043791091767,2.70978157645005e-05,-8.87909724414431e-05,0.0018183905531316
13,2.3013708652028,-0.00168299325913512,-0.00344720623295324,-0.00485063025058172,2.65058332707495,2.38012268900385e-05,-9.56954760555615e-05,0.00204706732268933
14,2.32828098997109,-0.00156093887095995,-0.00282460122081771,-0.00354856212663076,2.65073406206718,1.9973494522812e-05,-0.000102215843077445,0.00228695262406854
15,2.35434560480659,-0.00137782279083589,-0.00225129859649826,-0.00242449901815401,2.65088851075924,1.55410004564251e-05,-0.000108272113077495,0.00253481099381058
16,2.37900202995362,-0.00115693704700831,-0.00174881328066013,-0.00145110591013557,2.65104502465664,1.04227002617021e-05,-0.000113763589108993,0.00278510107522415
17,2.40205474644386,-0.000920001075487907,-0.00132717254836943,-0.000608517910610043,2.65120192869287,4.5330970266083e-06,-0.000118563590661557,0.00302923014430021
18,2.42348226931715,-0.000684288259416535,-0.000987080359452182,0.000114690390732727,2.65135753828612,-2.21223425912836e-06,-0.000122514073579228,0.00325476465194366
19,2.4433355347115,-0.000463240181851619,-0.000723472776284654,0.000721202395205282,2.65151017649357,-9.88760655534618e-06,-0.000125421088780049,0.00344474684289649
20,2.46168911776441,-0.0002665030969226,-0.000528061796354543,0.00120511672122482,2.65165819109059,-1.85437776249247e-05,-0.000127052754420654,0.00357738322222115
21,2.47862092335518,-0.000100261157688192,-0.000390821266134842,0.0015529327321628,2.65179997140362,-2.8189715210345e-05,-0.000127142253054292,0.00362650225890077
22,2.49420606727974,3.22756113612051e-05,-0.000301007880536716,0.00174580387512905,2.65193396472842,-3.87703599094092e-05,-0.000125399080157748,0.00356327143307186
23,2.50851678131081,0.000130390480907289,-0.000247877483010643,0.00176345499409637,2.6520586921698,-5.01431994170084e-05,-0.000121531836491733,0.00335961319455815
24,2.52162407995588,0.00019542278528142,-0.000221206495261219,0.00158985170479342,2.65217276374531,-6.20591430811362e-05,-0.000115284503664007,0.00299342947373317
25,2.53359925646794,0.00023037458180209,-0.000211704527769491,0.00122002697443851,2.65227489260292,-7.41556224653759e-05,-0.000106484667152755,0.0024550488206191
26,2.54451455770696,0.000239532901287622,-0.000211362857786189,0.000666530401479922,2.65236390821183,-8.59703560798184e-05,-9.50966168296947e-05,0.00175336186305774
27,2.5544430231194,0.000228066888135761,-0.000213740395358231,-3.67931741785792e-05,2.65243876839584,-9.69809183024455e-05,-8.12663124543328e-05,0.000919346348558123
28,2.56345773117669,0.000201575244187343,-0.000214151589305645,-0.00083590447898844,2.65249857009059,-0.000106667543399894,-6.53421987468545e-05,4.76516057532641e-06
29,2.5716307504256,0.000165599302280384,-0.000209705253064116,-0.00166339505278367,2.65254255871842,-0.000114586743051142,-4.78592869874606e-05,-0.000924815713820659
30,2.5790320485477,0.000125160132003854,-0.000199161813167637,-0.0024495985900143,2.65257013608823,-0.000120436340200997,-2.94844987235626e-05,-0.001801257842909
31,2.58572853364062,8.43977509662944e-05,-0.000182622863988761,-0.00313456399914409,2.6525808667426,-0.00012409327974602,-1.09349574636603e-05,-0.00256591102359807
32,2.59178332138189,4.63728160493942e-05,-0.000161116243983183,-0.00367705648926334,2.652574482689,-0.000125614775506158,7.10936263674557e-06,-0.00317867566075968
33,2.59725525654044,1.30458765845175e-05,-0.000136164946156598,-0.00405820117470649,2.65255088646835,-0.000125206321706068,2.40767006971465e-05,-0.00362168684552025
34,2.60219867330608,-1.45981127045097e-05,-0.000109418547593788,-0.00427972197004449,2.65251015252977,-0.000123170027260441,3.95445874464328e-05,-0.00389757852081996
35,2.60666335518481,-3.6339743723527e-05,-8.23920378123747e-05,-0.00435857718937326,2.65245252689722,-0.000119849510539133,5.32488992600398e-05,-0.00402413431527546
36,2.61069464710776,-5.24907746512941e-05,-5.63190777700417e-05,-0.0043203921736547,2.65237842513014,-0.000115583875189675,6.50680325325133e-05,-0.00402772948141163
37,2.61433367421479,-6.36803407740507e-05,-3.21001212913236e-05,-0.00419359731012145,2.65228842859674,-0.000110676728826092,7.4993181435515e-05,-0.00393747510385321
38,2.61761762846903,-7.06851640603181e-05,-1.03149496463798e-05,-0.00400523700223165,2.65218327909507,-0.000105380372956375,8.30948172935011e-05,-0.00378103187436819
39,2.62058009235621,-7.43093698426849e-05,8.72961967562162e-06,-0.00377858461131629,2.6520638718731,-9.98919010454403e-05,8.94921855477677e-05,-0.00358222908409053
40,2.6232513765193,-7.53086976332322e-05,2.49389373264458e-05,-0.00353221904946498,2.65193124711464,-9.43569387581467e-05,9.43291078404018e-05,-0.00336014523306741
41,2.62565885453747,-7.43493390373238e-05,3.83705177599275e-05,-0.00328006919723142,2.65178657997315,-8.8877258301382e-05,9.77567525033407e-05,-0.00312915619849247
42,2.62782728310422,-7.19911669981168e-05,4.91819731079192e-05,-0.00303198034505789,2.65163116924948,-8.35195840750785e-05,9.99225582809845e-05,-0.00289950543202558
43,2.6297790997921,-6.86866427953737e-05,5.75894806196378e-05,-0.00279448202281852,2.65146642482367,-7.83239911347832e-05,0.000100963924242442,-0.00267807547367404
44,2.63153469365556,-6.47888185780901e-05,6.38367469187061e-05,-0.00257156266517842,2.65129385396265,-7.33111271608593e-05,0.000101005255143918,-0.00246916626982187
45,2.63311264631289,-6.05638606867967e-05,6.81731594095179e-05,-0.00236535328052284,2.65111504663782,-6.84880226105958e-05,0.000100157181048047,-0.00227518238561848
46,2.63452994300585,-5.62051334875501e-05,7.08393772184428e-05,-0.00217668455920597,2.65093165999611,-6.3852548098841e-05,9.85170679587367e-05,-0.00209719362168392
47,2.63580215453206,-5.18470562556607e-05,7.20586205959561e-05,-0.00200551687773905,2.65074540213709,-5.93967104276501e-05,9.61702101731074e-05,-0.00193536841113464
48,2.63694359195362,-4.75777552783322e-05,7.20321299000169e-05,-0.00185125889319089,2.65055801535611,-5.51090155681343e-05,9.31913114489436e-05,-0.0017892956824014
49,2.63796743664942,-4.34500563860539e-05,7.09375436582074e-05,-0.00171299578938469,2.6503712590192,-5.09761148351275e-05,8.96460180501203e-05,-0.00165821622190862
50,2.63888584864963,-3.94906883136923e-05,6.89292201497878e-05,-0.00158964789556938,2.65018689223977,-4.69839180469493e-05,8.55923719771833e-05,-0.00154118422939726
51,2.63971005632227,-3.57077569963037e-05,6.61397690699567e-05,-0.00148007758632748,2.65000665652951,-4.31183202606689e-05,8.10821199348399e-05,-0.00143717695114808
52,2.64045043042707,-3.20966522078716e-05,6.26822594859768e-05,-0.00138315886216182,2.649832258597,-3.93656542056489e-05,7.61618543440255e-05,-0.00134516677274808
53,2.64111654536151,-2.86445933088789e-05,5.86527283919524e-05,-0.00129782066419631,2.64966535346647,-3.57129516577027e-05,7.08739859526388e-05,-0.00126416681347518
54,2.64171723014716,-2.53340319117873e-05,5.41327356991488e-05,-0.00122307213616789,2.64950752808646,-3.21480741731639e-05,6.52575597761439e-05,-0.00119325823171239
55,2.64226061137888,-2.21451204468122e-05,4.9191802599865e-05,-0.00115801579113266,2.64936028559385,-2.86597562384398e-05,5.93489315746352e-05,-0.00113160520058989
56,2.64275415001974,-1.90574359211286e-05,4.38896369457966e-05,-0.00110185281937275,2.64922503039247,-2.52375910244685e-05,5.318232368611e-05,-0.00107846179892387
57,2.64320467359315,-1.6051123746796e-05,3.8278096870035e-05,-0.00105388350158937,2.6491030541978,-2.18719795842457e-05,4.67902785676131e-05,-0.00103317379420654
58,2.64361840501805,-1.31076007713961e-05,3.24028767588723e-05,-0.00101350476920816,2.64899552318971,-1.85540576347692e-05,4.02040269258009e-05,-0.000995177375951738
59,2.64400098906337,-1.02099318818177e-05,2.63049215170097e-05,-0.000980206297561762,2.64890346640436,-1.52756093257952e-05,3.3453785475801e-05,-0.00096399624378631
60,2.64435751716793,-7.34297198820777e-06,2.00215886553344e-05,-0.000953566057533066,2.64882776548386,-1.20289740786074e-05,2.6568997501863e-05,-0.000939237995678717
61,2.64469255118262,-4.49334538645072e-06,1.35875854667968e-05,-0.000933245932741556,2.64876914588888,-8.80695027570458e-06,1.95785276864069e-05,-0.00092059044357185
62,2.64501014644118,-1.64931756843267e-06,7.0357120598628e-06,-0.000918987791814379,2.64872816966412,-5.60269800207101e-06,1.25108212087488e-05,-0.00090781826576221
63,2.64531387444958,1.19940180621943e-06,3.97441094775886e-07,-0.000910610263629179,2.64870522983128,-2.4096419687796e-06,5.39403591980808e-06,-0.00090076025759977
64,2.64560684539307,4.06187967303349e-06,-6.29663162695917e-06,-0.000908006333347687,2.64870054646696,7.78624959011291e-07,-1.74384452432276e-06,-0.000899327342468005
65,2.64589173060398,6.94622094201604e-06,-1.30164466750825e-05,-0.00091114190230585,2.6487141645061,3.96843765725357e-06,-8.87490934942059e-06,-0.000903501437367515
66,2.64617078507696,9.85980696227615e-06,-1.97322132876879e-05,-0.000920055267729494,2.64874595329341,7.16615434633048e-06,-1.59712243644842e-05,-0.000913335219622351
67,2.64644587009366,1.2809533475438e-05,-2.64141987951326e-05,-0.000934857567541762,2.64879560788754,1.03782522915111e-05,-2.3004734047382e-05,-0.000928952803675194
68,2.64671847599578,1.58020322676624e-05,-3.30325530972791e-05,-0.000955734147483295,2.64886265210448,1.36114239563427e-05,-2.99471553279406e-05,-0.000950551301404985
69,2.64698974512963,1.88438694404769e-05,-3.95571485881684e-05,-0.000982946779411387,2.6489464432689,1.6872673789191e-05,-3.67698560900827e-05,-0.00097840319792552
70,2.64726049497515,2.1941711942148e-05,-4.59574171735011e-05,-0.00101683659351757,2.64904617862442,2.01694154783025e-05,-4.34437108807141e-05,-0.0010128594186567
71,2.64753124146695,2.51024588262314e-05,-5.22021674207041e-05,-0.00105782756296389,2.64916090333701,2.35095689448918e-05,-4.99389255247992e-05,-0.00105435288193211
72,2.64780222251325,2.8333326484488e-05,-5.82593615522336e-05,-0.00110643021915934,2.64928952000925,2.69016554739675e-05,-5.62248212908515e-05,-0.0011034022106045
73,2.64807342171492,3.16418777464171e-05,-6.40958282665016e-05,-0.00116324510223008,2.6494307996079,3.03548880854955e-05,-6.22695679226421e-05,-0.00116061509726255
