step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
1,0.75,0,-0.02,0,0,0,0,0,0,0,0,0,1,0,-1,0.5,3.06062330678537e-17,0,0.0254786850875829,1.55944441295558e-18,1.5707963267949,-3.11888882591116e-18,0.0509518570775537,0.499837717930802
2,0.750153953133726,0.000136619386016133,-0.0322604267855458,-0.00621686167034427,-0.00540074769012403,-0.490458502801677,0.0327027530807898,-0.0383039705569755,0.0255288845280031,1.3244966066541,-1.51779262687234,1.04602510457164,0.999687516435564,0.0249895832281062,-0.999999993782128,0.499530465710374,1.17317550073372e-05,0.000954429145819471,0.0255264806586956,0.00190963137383002,1.5958450480444,0.000955032371109163,0.0509492137025899,0.499837717930802
3,0.752008564942015,0.0019231416770121,-0.0661956579476593,-0.00426650921970801,-0.0202367871174658,-0.871366776558561,0.0962389407077963,-0.0912495899649176,0.101206613150366,1.4356296405385,-0.392828584760135,2.09205020917415,0.998750261967216,0.0499166702619608,-0.99999993789526,0.498123984064438,5.86357908939233e-05,0.00190012702872053,0.0256699807421884,0.00381132755436079,1.62096454023738,0.00190883855032929,0.0508025454571047,0.502662347913843
4,0.756912924549986,0.00769546591645007,-0.115200201265584,0.039039904685999,-7.30233663698391e-05,-1.11256454191635,0.117711558113567,-0.112015777276887,0.231188672941483,-0.0347129812984848,0.164232908033045,3.13807531371691,0.997188823490078,0.074718843623198,-0.99999975802024,0.495788669496649,0.000140797188575684,0.00282521040083056,0.0259096405803813,0.00569180288376268,1.64629688034647,0.00285896444914334,0.0505120944727096,0.50834385291657
5,0.764513552726025,0.0180416292667474,-0.172753063280143,0.112631530353999,0.0357003910922617,-1.24081382881958,0.0985447142185233,-0.121207869153276,0.415572074716815,0.130273148607638,0.255950811824686,4.18410035395985,0.995004175727835,0.0993339135852284,-0.999999380219633,0.49253930555115,0.000258507635139071,0.00371799600305955,0.0262462595275297,0.00753756827835442,1.6719865556867,0.00380286215341738,0.0500783626792788,0.516946823943482
6,0.774081658036553,0.0322865201496813,-0.233623909628582,0.207390967446888,0.0389843144459128,-1.26658974046565,0.0817300193875766,-0.11695439774929,0.6157766747395,0.166988562248313,0.626759098868472,3.71935591609153,0.99219767905327,0.123700073618408,-0.999998731023858,0.488397509633599,0.000412264245531778,0.00456712433609825,0.0266809598938346,0.00933480605207976,1.69818207810941,0.00473782356105564,0.0495021181546017,0.528568339147157
7,0.784816195503582,0.0497822056558564,-0.294164255561498,0.307069795152019,0.022571661211572,-1.2355652461078,0.0692080996417183,-0.0971116455096303,0.793250765332464,0.0963063043088187,0.696907985950985,3.25876250942798,0.98877107710601,0.147756054796044,-0.999997737512208,0.483391962638921,0.000602767908612797,0.00536168013922676,0.0272151519554177,0.011069237528271,1.72503760215821,0.00566090788738588,0.0487844061935765,0.54333801543985
8,0.79598137983379,0.0699089445014297,-0.352475182321202,0.390971081329831,-0.00586962514276283,-1.1707605490874,0.0612178326244032,-0.0733152911599224,0.949007253071477,0.115381366414041,0.654675726552462,2.87404467829329,0.984726494219424,0.171441278773507,-0.999996327388683,0.477558708985101,0.000830920225857684,0.00609130832747661,0.0278504808754377,0.0127259813276778,1.75271453693895,0.00656886042736507,0.0479265670024662,0.561417754028671
9,0.807004652591611,0.0920661039435729,-0.407510629884235,0.453519833374119,-0.0408846197722343,-1.08791950915818,0.0586772679915859,-0.0500741068563765,1.08654955323978,0.122190498336602,0.600395304695662,2.55191181548146,0.980066432669561,0.194696008955864,-0.999994429052622,0.470941533484964,0.00109781762280902,0.00674632418826719,0.0285887494337694,0.0142894009812731,1.7813831277383,0.00745801985812427,0.0469302628185248,0.583000848826721
10,0.817440236117756,0.115714936979021,-0.458788318933715,0.495053292939223,-0.0757274475530526,-0.998937156545594,0.0597477297034203,-0.0292317015859615,1.20911251718618,0.113916639209602,0.520697965615212,2.28902405339538,0.974793769760133,0.217461499473572,-0.999991971664236,0.46359242183527,0.00140474057711841,0.00731781670237184,0.0294318082367573,0.0157429418056202,1.81122396299884,0.00832421132748947,0.0457975183852883,0.60830997254822
11,0.826941295398249,0.140369229349758,-0.506192430746053,0.517950160073998,-0.106307339463698,-0.910793205893268,0.0628991675309578,-0.0119947917722278,1.31951976818443,0.101852273309918,0.437500633019673,2.07590251496965,0.968911754758852,0.239680141591068,-0.999988885205247,0.45557211090448,0.00175313507376199,0.00779774393008906,0.0303814024184112,0.0170689590821405,1.84242933283693,0.00916262271005814,0.0445307801464745,0.637593348688708
12,0.835245864765711,0.165593014802239,-0.549800669344692,0.525919196889664,-0.130586694887351,-0.827259835913762,0.0670414844501311,0.00146583320452262,1.42014797833601,0.0837768293743474,0.36092735234652,1.90578361664102,0.962424005701862,0.261295607179468,-0.99998510053495,0.446950732860597,0.00214458231995793,0.00817901949075046,0.0314389607606274,0.0182485429055559,1.8752043239707,0.00996766189304671,0.0431330013147985,0.671118146185141
13,0.842163283439202,0.191001363288033,-0.589791118771121,0.522691066481937,-0.147855870545471,-0.750123042665593,0.0713192250854588,0.0114224310101613,1.51302033686112,0.0622839527273297,0.293226146854757,1.77263761422434,0.955334506084644,0.282252988892158,-0.999980549442139,0.437808552616002,0.00258075139520128,0.0084555892610185,0.0326053097984148,0.0192613501620906,1.90976747931946,0.0107327940447798,0.0416077621502193,0.709159789556095
14,0.847563965927775,0.21626007857336,-0.626387594627896,0.511535517928183,-0.158346074340076,-0.679932800906943,0.0751887406662674,0.0183143902634687,1.59986227564743,0.0399253520429245,0.236103864885947,1.67115999391928,0.947647601459504,0.302498936690904,-0.999975164693511,0.428236789817845,0.00306332788003788,0.00862249752350298,0.0338802922324896,0.0200854616666628,1.94635077520851,0.0114503599149135,0.0399594372879236,0.751985465762985
15,0.851370216953103,0.241084690428661,-0.659828587887642,0.495147378053077,-0.162812771538969,-0.616550902054043,0.0783499531951983,0.0226526510483618,1.68215706979777,0.018357142976649,0.189570210562797,1.59692229252533,0.93936799596159,0.321981790380285,-0.999968880079304,0.418338502964708,0.00359390968979517,0.00867594191064669,0.0352622666701256,0.0206972933381414,1.98519857261056,0.0121113798772234,0.0381934245668744,0.799829662919231
16,0.853547407444462,0.265237807685941,-0.690351514430505,0.475641541496484,-0.162249140383981,-0.559504992404498,0.0806761682557599,0.0249357177933912,1.76118901076305,-0.00110269821343113,0.152751973704114,1.54620055574387,0.930500748787112,0.340651707819959,-0.999961630457149,0.408229491995717,0.00417385958720775,0.00861331660808819,0.0367474658610702,0.0210716051804479,2.0265650817392,0.0127053543899229,0.0363164519991336,0.852859181618197
17,0.854095759316289,0.288525110181132,-0.718185200616462,0.454624207825745,-0.157706417123198,-0.508194834663925,0.0821627335669943,0.0256102124371388,1.83807463458155,-0.0175950033793909,0.124426984721873,1.51584269151509,0.921051270648932,0.35846078849755,-0.999953351795351,0.398039144367541,0.00480410268968239,0.00843324340521122,0.038329195684227,0.0211816711060287,2.07070974875358,0.0132200806765909,0.0343369802556822,0.911124894488996
18,0.853042837414603,0.310790497620601,-0.743546673598111,0.433285558076202,-0.150184137637524,-0.46200674584721,0.0828819653670135,0.0250553137349667,1.91378506618967,-0.0306760040130576,0.103214607988462,1.50311219129312,0.911025320235648,0.375363192160117,-0.999943981217102,0.387911105874061,0.00548485768378558,0.00813559030668117,0.0399968709343837,0.0209996954966031,2.11788984883408,0.0136415185128781,0.032265715524631,0.97449791006013
19,0.850436860484944,0.331910868831188,-0.766640059785161,0.412490200577005,-0.140571155725174,-0.420370211378298,0.0829480139811519,0.0235787841728941,1.98915988619429,-0.0402304501935979,0.0877287025531835,1.50551157185238,0.900429000700147,0.391315252219206,-0.999933457047442,0.378003600233197,0.0062152939604666,0.00772147754575762,0.0417349114890604,0.0204975857151015,2.16834949116587,0.0139537552946865,0.0301162390007251,1.04258922077025
20,0.846340892153429,0.351790933080716,-0.787656406940375,0.392857309416515,-0.129620154915887,-0.382779970578398,0.0824908165840527,0.0214206043390438,2.06491274297393,-0.0463979632649259,0.0766714193586542,1.52059948807007,0.889268756201909,0.406275583663755,-0.999921718865185,0.368489153084861,0.00699311568079087,0.00719327096641191,0.0435215692625881,0.0196482063714828,2.22230427707668,0.014139140900891,0.0279057407025009,1.11465505430365
21,0.840827912676026,0.37035833626437,-0.806773864140968,0.374827229651181,-0.117943251156607,-0.348799267171554,0.0816373939102717,0.0187609491442017,2.1416287977451,-0.0495028947265631,0.0688851825137835,1.54581113495762,0.877551368523142,0.420205185236367,-0.999908707562408,0.359553405400466,0.00781409043786082,0.00655456286531695,0.0453278263085835,0.0184272378884544,2.2799211052119,0.0141786822939038,0.0256558123946138,1.18949570748819
22,0.833976734442709,0.387559275720626,-0.824157984957075,0.358714097166575,-0.106020351020261,-0.318053914388245,0.0804992487213533,0.015730526975446,2.21975446284274,-0.0499919413543499,0.0633805391240914,1.57829926742964,0.865283953771279,0.433067535651724,-0.999894365414527,0.351392647827579,0.00867156668527723,0.00581014050557528,0.0471165950114835,0.0168157190138425,2.34129321474833,0.0140527979325125,0.023393204041324,1.26536395558235
23,0.825868700599746,0.403354692126615,-0.839962080196891,0.344745136085744,-0.0942145622941864,-0.29022283631227,0.0791648327018403,0.0124220776799336,2.29958089362344,-0.0483813761578142,0.0593477155884222,1.61482236105159,0.852473959168589,0.44482868366038,-0.999878636164346,0.344209704182896,0.0095560598646314,0.00496594263130066,0.0488425465957579,0.0148032468177382,2.406411613824,0.0137425190977083,0.0211503824030323,1.33990938305247
24,0.816585092873406,0.41771706418333,-0.854327613540546,0.333087708581006,-0.0827907420403029,-0.265028177450669,0.0776962969560781,0.00890211091504727,2.38122422498593,-0.0452131613356834,0.0561569475193984,1.65171472494482,0.839129159913021,0.455457331785923,-0.999861465123714,0.338207883986253,0.0104550259576544,0.00402900442641332,0.0504529575162427,0.0123916212258082,2.47513557460146,0.0132311716618017,0.018965661698146,1.4101941779177
25,0.806205168421913,0.430627788574394,-0.867384651852536,0.323865489284966,-0.0719344553607357,-0.24222647012161,0.0761299313116446,0.00522202947177095,2.46460736879581,-0.0410186964459016,0.0533507020713979,1.684975220861,0.825257656072983,0.464924913586573,-0.999842799296455,0.333582955076576,0.0113529682230897,0.00300739147331683,0.0518899362592143,0.00959846309287567,2.54716668824887,0.0125064637177964,0.0168826330369057,1.47281822548535
