step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
1,2.65061418258393,0.0715013162456139,-0.14999983794255,0.0272444226449742,2.649559952143,4.13212782948039e-05,2.52937734830482e-21,-7.12129677561969e-23
2,2.57414576142051,-0.0353871776220301,0.0605369904730937,0.0061230273912447,2.64956802535007,4.12225265175267e-05,-8.51722445010798e-06,0.000135017313189379
3,2.86656647374765,-0.0286496320623378,0.0445947678733974,-0.00471059294939983,2.6495921599193,4.09246130671214e-05,-1.70139819467965e-05,0.00027157593913034
4,2.84663575268804,-0.00460065552459333,0.0427985058593311,0.00131742866487519,2.64963210156302,4.04225077457616e-05,-2.54695871562009e-05,0.000411222015086368
5,2.75140398453057,-0.00702720279745903,0.0271755485987538,-0.0010344092169292,2.64968742935364,3.97076398322318e-05,-3.38628883104862e-05,0.000555508426735669
6,2.66605257851707,-0.00166444859474063,0.0154428477185384,-0.000463942216552449,2.64975756002007,3.87676145835087e-05,-4.21719573110596e-05,0.000705990526790723
7,2.61686135116751,4.675797244249e-05,0.00731392140557406,-0.000285527511662032,2.64984175390044,3.75858116798397e-05,-5.03736807129339e-05,0.000864211504545646
8,2.6021722937114,0.00113539929261563,0.00186609969309583,9.32825064638708e-06,2.64993912248966,3.61408639833984e-05,-5.84432064181745e-05,0.00103167193134681
9,2.61029845791076,0.00157661799609073,-0.0016608812426804,0.000335585480906931,2.65004863750391,3.4406019676048e-05,-6.63531900627383e-05,0.00120977611388762
10,2.62914596607827,0.00163863281736894,-0.00385122344417139,0.00068489722338166,2.65016914136878,3.23484009858814e-05,-7.40727713604596e-05,0.00139974537951537
11,2.64975840168862,0.00147219020581326,-0.00510786816415565,0.00104788834725084,2.65029935902313,2.99281914725079e-05,-8.15661947424246e-05,0.00160248532032949
12,2.66686465025848,0.00117882419482506,-0.00570079151117933,0.0014176671795483,2.65043791091767,2.70978157645005e-05,-8.87909724414431e-05,0.0018183905531316
13,2.6782268038294,0.000827756630101961,-0.00582040286837393,0.00178870986476891,2.65058332707495,2.38012268900385e-05,-9.56954760555615e-05,0.00204706732268933
14,2.68366285836839,0.000466995053738774,-0.0056075841111367,0.00215601251609595,2.65073406206718,1.9973494522812e-05,-0.000102215843077445,0.00228695262406854
15,2.68414445489976,0.000129175875241641,-0.0051705641227018,0.00251418166441008,2.65088851075924,1.55410004564251e-05,-0.000108272113077495,0.00253481099381058
16,2.6811131749077,-0.000164641035455987,-0.00459390302811356,0.00285653083222425,2.65104502465664,1.04227002617021e-05,-0.000113763589108993,0.00278510107522415
17,2.67603346261635,-0.000402258207305455,-0.00394355967564392,0.00317416314905376,2.65120192869287,4.5330970266083e-06,-0.000118563590661557,0.00302923014430021
18,2.67014566426059,-0.000578228429766365,-0.0032702240636205,0.00345506488241779,2.65135753828612,-2.21223425912836e-06,-0.000122514073579228,0.00325476465194366
19,2.66436559122623,-0.000692174174502137,-0.00261188783602857,0.00368332019828724,2.65151017649357,-9.88760655534618e-06,-0.000125421088780049,0.00344474684289649
20,2.65927864043869,-0.000747469856728546,-0.00199600822681663,0.00383868933834858,2.65165819109059,-1.85437776249247e-05,-0.000127052754420654,0.00357738322222115
21,2.65518616077673,-0.000750232788878508,-0.00144136099466082,0.00389694130740437,2.65179997140362,-2.8189715210345e-05,-0.000127142253054292,0.00362650225890077
22,2.65217352579273,-0.000708555041474031,-0.000959596703762409,0.00383143607758011,2.65193396472842,-3.87703599094092e-05,-0.000125399080157748,0.00356327143307186
23,2.6501802483473,-0.000631891586722567,-0.000556509245053998,0.00361640563808521,2.6520586921698,-5.01431994170084e-05,-0.000121531836491733,0.00335961319455815
24,2.64906118023268,-0.000530511301172783,-0.000233048826649318,0.00323205285011126,2.65217276374531,-6.20591430811362e-05,-0.000115284503664007,0.00299342947373317
25,2.64863409888374,-0.000414926246610669,1.38541207906197e-05,0.00267088848009624,2.65227489260292,-7.41556224653759e-05,-0.000106484667152755,0.0024550488206191
26,2.64871302616139,-0.000295250612308193,0.000190555230575246,0.00194377547763642,2.65236390821183,-8.59703560798184e-05,-9.50966168296947e-05,0.00175336186305774
27,2.64912890192158,-0.000180504885655674,0.000305942437409977,0.00108338390311231,2.65243876839584,-9.69809183024455e-05,-8.12663124543328e-05,0.000919346348558123
28,2.6497402442628,-7.7955141759521e-05,0.000370582235766337,0.000142842520220275,2.65249857009059,-0.000106667543399894,-6.53421987468545e-05,4.76516057532641e-06
29,2.65043661627079,7.37483424391517e-06,0.000395760998860255,-0.000811262797898502,2.65254255871842,-0.000114586743051142,-4.78592869874606e-05,-0.000924815713820659
30,2.65113744008522,7.28938491517952e-05,0.000392507484482333,-0.00171011060424402,2.65257013608823,-0.000120436340200997,-2.94844987235626e-05,-0.001801257842909
31,2.651788205464,0.000118287948160166,0.000370741020002052,-0.00249466895022404,2.6525808667426,-0.00012409327974602,-1.09349574636603e-05,-0.00256591102359807
32,2.65235557423895,0.000145074181006268,0.000338680761973514,-0.00312470294568719,2.652574482689,-0.000125614775506158,7.10936263674557e-06,-0.00317867566075968
33,2.65282237847222,0.00015599411872918,0.000302581568204898,-0.00358239544130499,2.65255088646835,-0.000125206321706068,2.40767006971465e-05,-0.00362168684552025
34,2.65318309591848,0.000154394957677525,0.000266772981368182,-0.00387054979011937,2.65251015252977,-0.000123170027260441,3.95445874464328e-05,-0.00389757852081996
35,2.65344007750229,0.000143710659187952,0.000233913501916594,-0.00400718871140174,2.65245252689722,-0.000119849510539133,5.32488992600398e-05,-0.00402413431527546
36,2.65360059364029,0.000127097444352817,0.000205352044406963,-0.00401895695913169,2.65237842513014,-0.000115583875189675,6.50680325325133e-05,-0.00402772948141163
37,2.65367464313038,0.000107226182608939,0.000181504635370732,-0.00393523861030393,2.65228842859674,-0.000110676728826092,7.4993181435515e-05,-0.00393747510385321
38,2.6536734086361,8.62029909350281e-05,0.000162187262397501,-0.00378395409833281,2.65218327909507,-0.000105380372956375,8.30948172935011e-05,-0.00378103187436819
39,2.65360822531956,6.55785746944431e-05,0.000146878143772329,-0.00358916976043895,2.6520638718731,-9.98919010454403e-05,8.94921855477677e-05,-0.00358222908409053
40,2.65348993621317,4.64094653193266e-05,0.000134905946943103,-0.00337017388603828,2.65193124711464,-9.43569387581467e-05,9.43291078404018e-05,-0.00336014523306741
41,2.65332852655844,2.93428612861729e-05,0.000125573357347654,-0.00314152346315959,2.65178657997315,-8.8877258301382e-05,9.77567525033407e-05,-0.00312915619849247
42,2.65313295131565,1.47062039453265e-05,0.000118230283157239,-0.00291361484168217,2.65163116924948,-8.35195840750785e-05,9.99225582809845e-05,-0.00289950543202558
43,2.6529110907952,2.59048713420066e-06,0.000112311049210465,-0.00269345690314992,2.65146642482367,-7.83239911347832e-05,0.000100963924242442,-0.00267807547367404
44,2.65266978686909,-7.07806184537942e-06,0.000107347734915755,-0.00248545174209381,2.65129385396265,-7.33111271608593e-05,0.000101005255143918,-0.00246916626982187
