step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
1,1.2,-0.2,-1,0,0,0,0,0,1.5707963267949,0,0,0,1,0,-1,0.5,3.06062330678537e-17,0,0.0254786850875829,1.55944441295558e-18,1.5707963267949,-3.11888882591116e-18,0.0509518570775537,0.499837717930802
2,1.19994016415919,-0.199875253755229,-1.00000698971557,0.0100087096787216,0.00464115091704047,-0.000877700847356275,0.0286481355977264,-0.0613021568380461,1.58417170557737,1.15937312875774,-2.44543788508005,0.569967000940884,0.999687516435564,0.0249895832281062,-0.999999993782128,0.499530465710374,1.17317550073372e-05,0.000954429145819471,0.0255264806586956,0.00190963137383002,1.5958450480444,0.000955032371109163,0.0509492137025899,0.499837717930802
3,1.19914005176028,-0.198220820173445,-0.99959466762868,0.0669943449284121,0.0286474740641936,0.00509459970523174,0.0687150113386227,-0.160610306538523,1.6111598751522,0.569418248977872,-1.46549076140413,0.698063808289099,0.998750261967216,0.0499166702619608,-0.99999993789526,0.498123984064438,5.86357908939233e-05,0.00190012702872053,0.0256699807421884,0.00381132755436079,1.62096454023738,0.00190883855032929,0.0508025454571047,0.502662347913843
4,1.19649029794323,-0.192677809293744,-0.999460980217549,0.161102689385381,0.0614963592999134,-0.0523392765991585,0.0798198064248659,-0.218114659811743,1.63986005020331,0.0948144057408447,-0.741617291513616,0.599515838636383,0.997188823490078,0.074718843623198,-0.99999975802024,0.495788669496649,0.000140797188575684,0.00282521040083056,0.0259096405803813,0.00569180288376268,1.64629688034647,0.00285896444914334,0.0505120944727096,0.50834385291657
5,1.19137647402874,-0.181664941593835,-1.00055948073718,0.274835922753655,0.0919378007815399,-0.107746235087414,0.0757364428491345,-0.24011612186238,1.66968367011676,0.0172313331932498,-0.044949157131569,0.627077107776032,0.995004175727835,0.0993339135852284,-0.999999380219633,0.49253930555115,0.000258507635139071,0.00371799600305955,0.0262462595275297,0.00753756827835442,1.6719865556867,0.00380286215341738,0.0500783626792788,0.516946823943482
6,1.18372042574216,-0.164788860851272,-1.0022494188926,0.395171961130086,0.115884120185031,-0.13849304258289,0.0661272027673943,-0.23351517968846,1.70194398763671,-0.0960229987941952,0.397917663799557,0.605436747589229,0.99219767905327,0.123700073618408,-0.999998731023858,0.488397509633599,0.000412264245531778,0.00456712433609825,0.0266809598938346,0.00933480605207976,1.69818207810941,0.00473782356105564,0.0495021181546017,0.528568339147157
7,1.17367595132671,-0.142419733826465,-1.00376861593378,0.51081214911509,0.131658113871058,-0.141977295951224,0.0535972332704385,-0.209158462124067,1.73427148509777,-0.119648062175412,0.650147787744311,0.595730843477253,0.98877107710601,0.147756054796044,-0.999997737512208,0.483391962638921,0.000602767908612797,0.00536168013922676,0.0272151519554177,0.011069237528271,1.72503760215821,0.00566090788738588,0.0487844061935765,0.54333801543985
8,1.16151847599189,-0.115276027917299,-1.00465478702381,0.613510038895767,0.138600083790313,-0.124872622388421,0.0416426623114227,-0.175101158718445,1.76614648934108,-0.114225707386989,0.770035106690964,0.58975746457219,0.984726494219424,0.171441278773507,-0.999996327388683,0.477558708985101,0.000830920225857684,0.00609130832747661,0.0278504808754377,0.0127259813276778,1.75271453693895,0.00656886042736507,0.0479265670024662,0.561417754028671
9,1.14755996718196,-0.0842085157314646,-1.0047863007606,0.698241826518963,0.137431356070508,-0.0960314509200728,0.0316538413884071,-0.1369230297413,1.79743229242722,-0.0906019874957038,0.801096745313205,0.589952616259353,0.980066432669561,0.194696008955864,-0.999994429052622,0.470941533484964,0.00109781762280902,0.00674632418826719,0.0285887494337694,0.0142894009812731,1.7813831277383,0.00745801985812427,0.0469302628185248,0.583000848826721
10,1.13211744963005,-0.0501054949753301,-1.00428367633628,0.762892032110561,0.12950916100916,-0.0631812016130683,0.0242631769577706,-0.0983690509903508,1.82840266631676,-0.0597462544416079,0.774540386168505,0.596973233014728,0.974793769760133,0.217461499473572,-0.999991971664236,0.46359242183527,0.00140474057711841,0.00731781670237184,0.0294318082367573,0.0157429418056202,1.81122396299884,0.00832421132748947,0.0457975183852883,0.60830997254822
