step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
1,0,0,0,0,0,0,0,0,0,0,0,1.57795682615791e-21,3.97235047063814e-11,1,0.0108108
2,1.64533933805511e-14,1.164163560121e-09,9.74528355004523e-12,8.12449903922171e-10,-1.97981631089306e-11,-1.97981631089306e-11,8.12762362640909e-10,1.35357076867581e-28,1.16343060329175e-14,3.30291329062816e-19,5.74709778116587e-10,3.06809471933069e-15,5.53903847191071e-08,1,0.0098018
3,9.09805111906261e-11,2.04575331351546e-06,1.70492172117891e-08,1.43177407457165e-06,2.86109032021642e-08,2.86109032021642e-08,1.43232068374388e-06,2.75915122907393e-21,5.25276234858758e-11,6.83847733887729e-13,8.26950865461624e-07,4.81826706607271e-15,6.94137383093052e-08,1,0.0091435
4,7.1805293759191e-10,4.49612567833949e-06,1.79811508563405e-08,1.25676920220599e-06,3.89474847928284e-08,3.89474847928284e-08,1.259345286508e-06,1.30969368717898e-19,3.61896903437841e-10,9.09373438078275e-13,9.53610737186969e-07,4.0338836929436e-15,6.35128624212734e-08,1,0.0091896
5,3.00563425317467e-09,5.94679879855206e-06,4.9037325186444e-08,7.05477164742593e-07,6.06963568294816e-09,6.06963568294816e-09,7.14761736672471e-07,1.91154294774569e-18,1.38258560232113e-09,8.29675618504829e-13,9.10865313042949e-07,3.29995968759781e-15,5.74452755898848e-08,1,0.0090842
6,7.80197281008489e-09,6.75138736425882e-06,1.12422942610623e-07,5.00143476096035e-07,-2.05284944598816e-08,-2.05284944598816e-08,5.26049543834581e-07,1.17380824113387e-17,3.42608850021985e-09,7.37517702515453e-13,8.5878850860701e-07,2.78349651820565e-15,5.27588525103195e-08,1,0.0090518
7,1.54145264043958e-08,7.06987670989789e-06,1.80378922547817e-07,4.52331148930615e-07,-4.2821434842466e-08,-4.2821434842466e-08,5.02596629357318e-07,4.40051598199782e-17,6.63363850537382e-09,6.68244226704865e-13,8.17462064382724e-07,2.40016403085486e-15,4.89914689599614e-08,1,0.0089632
8,2.58212057086328e-08,7.05566585155687e-06,2.46506406920331e-07,4.92003376863745e-07,-6.22713260955976e-08,-6.22713260955976e-08,5.64503373487656e-07,1.21846347873422e-16,1.10384033208351e-08,6.24546705701625e-13,7.90282674554887e-07,2.10516004352095e-15,4.58820230975156e-08,1,0.0090952
9,3.8766492993633e-08,6.94221082974227e-06,3.0671094517883e-07,5.41939971459539e-07,-8.01300028552276e-08,-8.01300028552276e-08,6.35573912438415e-07,2.75290195779197e-16,1.6591871376647e-08,6.00036427087252e-13,7.74620182468319e-07,1.87287188839221e-15,4.32766898964351e-08,1,0.0092091
10,5.38369799214211e-08,6.9650199479494e-06,3.58456927509192e-07,5.7412960677457e-07,-9.73662079850612e-08,-9.73662079850612e-08,6.89776807016133e-07,5.37603216907227e-16,2.3186272164952e-08,5.87611988728264e-13,7.66558535748096e-07,1.68626641183507e-15,4.10641743108889e-08,1,0.009187
11,7.05284149851253e-08,7.286717295527e-06,4.00460708689042e-07,5.85483096526914e-07,-1.14709063581131e-07,-1.14709063581131e-07,7.24090833526254e-07,9.40935408126029e-16,3.06746704648319e-08,5.81857038407217e-13,7.62795541680218e-07,1.53364186647531e-15,3.91617398295238e-08,1,0.0091864
12,8.82991445529945e-08,7.95460953359732e-06,4.32401326334333e-07,5.81091742742398e-07,-1.3269427112661e-07,-1.3269427112661e-07,7.42771953070166e-07,1.51225236818141e-15,3.88876891596995e-08,5.79344799728921e-13,7.61147028982523e-07,1.40674501017243e-15,3.75065995549107e-08,1,0.0091746
13,1.06610892373858e-07,8.91955800615641e-06,4.54678150572291e-07,5.68167551838268e-07,-1.5169870559717e-07,-1.5169870559717e-07,7.51762847919153e-07,2.2702239069944e-15,4.76468667069977e-08,5.78252690481429e-13,7.60429280394586e-07,1.29963747208789e-15,3.60504850464996e-08,1,0.0091028
14,1.24958380310555e-07,1.00973279271004e-05,4.68200512011089e-07,5.53631028152291e-07,-1.71970886864159e-07,-1.71970886864159e-07,7.56565406800109e-07,3.22339340005462e-15,5.67749363720878e-08,5.77834013644656e-13,7.6015394075454e-07,1.20798541999174e-15,3.47560846470333e-08,1,0.009141
15,1.4288933302682e-07,1.14142465053884e-05,4.74208926850777e-07,5.42946734638112e-07,-1.93658026947929e-07,-1.93658026947929e-07,7.61426104150736e-07,4.36965793957428e-15,6.61033882609226e-08,5.77963060207157e-13,7.60238817877091e-07,1.76558371612045e-15,4.20188495335182e-08,1,0.0091332
16,1.60003748433068e-07,1.0142404591236e-05,4.44608249273356e-07,1.65047983633122e-06,-1.65507644034335e-07,-1.65507644034335e-07,1.72589017109704e-06,5.69662928789042e-15,7.54760179652479e-08,7.28008924112295e-13,8.53234389902502e-07,1.68396626022979e-15,4.10361579613612e-08,1,0.0092109
17,1.75841997345228e-07,7.14657462025314e-06,3.79935711628316e-07,1.29485071973281e-06,-9.45930649365323e-08,-9.45930649365323e-08,1.36655326495412e-06,7.18038097862388e-15,8.47371286899897e-08,7.9503591833844e-13,8.91647866782869e-07,1.60333405439415e-15,4.0041653991739e-08,1,0.0093518
18,1.89967909603773e-07,5.65356328465949e-06,3.15526975477726e-07,9.98059288927444e-07,-3.8455906903323e-08,-3.8455906903323e-08,1.06841183167097e-06,8.78634907310185e-15,9.37355272727574e-08,8.14284136322667e-13,9.02376936940803e-07,1.52433158100807e-15,3.90426892133222e-08,1,0.0094976
19,2.02142261639908e-07,5.38098929875387e-06,2.55566392465462e-07,7.64359731072705e-07,4.90612128700718e-09,4.90612128700718e-09,8.36206723684875e-07,1.04745145924595e-14,1.02345076053807e-07,8.08229270449673e-13,8.99015723138185e-07,1.44985443464208e-15,3.8076954114557e-08,1,0.0104746
20,2.12284459169442e-07,5.70016711109827e-06,2.03344692849852e-07,5.83163506165115e-07,3.76614717190193e-08,3.76614717190193e-08,6.60598994043798e-07,1.22040234430796e-14,1.10471821941523e-07,7.89637358473773e-13,8.88615416518177e-07,1.38165645234441e-15,3.71706396547652e-08,1,0.0097798
