step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
1,2.65213813553999,-8.64216774419765e-06,-7.96820503339283e-12,-3.75812194769469e-11,2.65213813554272,-8.64217747426831e-06,-5.28494738375149e-22,-4.97038415914366e-22
2,2.65213651038261,-8.58641500731743e-06,1.48597581230928e-06,-0.000177701035333859,2.65213652742475,-8.63412530596609e-06,1.46020137352761e-06,-0.000177754934861443
3,2.65213171031297,-8.59699569898376e-06,2.89568017830177e-06,-0.000351221089696042,2.65213170707916,-8.61012319790006e-06,2.90867591757681e-06,-0.000351131832014122
4,2.65212369199335,-8.61059330571843e-06,4.33333326025499e-06,-0.000516010250563403,2.6521236865209,-8.57062646683884e-06,4.33402883751703e-06,-0.000516017527498705
5,2.65211248994731,-8.53390127443167e-06,5.72176900287268e-06,-0.00066879411916453,2.65211248574177,-8.5163685029113e-06,5.72550659250444e-06,-0.000668799140062547
6,2.65209813380935,-8.46202108932184e-06,7.07248575680338e-06,-0.000806542301458367,2.6520981326608,-8.44832515059639e-06,7.07326329057507e-06,-0.000806545718795665
7,2.65208066251919,-8.37737095326541e-06,8.36735576616508e-06,-0.000927118797488114,2.65208066305495,-8.36766960107937e-06,8.3685693340638e-06,-0.000927120869466615
8,2.65206011890068,-8.28162860055733e-06,9.602627685651e-06,-0.00102922083484996,2.65206012047031,-8.27572167991949e-06,9.60395382143148e-06,-0.00102922184384005
9,2.65203655406545,-8.17681406939016e-06,1.07719337049465e-05,-0.00111235048981514,2.65203655611403,-8.17389549201706e-06,1.07732789140157e-05,-0.00111235069552185
10,2.65201002661919,-8.06425638158678e-06,1.18703892496276e-05,-0.0011767311440227,2.65201002872716,-8.06364900108946e-06,1.18717503636418e-05,-0.00117673075412607
11,2.65198060251903,-7.94533082793163e-06,1.28945244666e-05,-0.00122318670337457,2.65198060443888,-7.94643840274599e-06,1.28958729658405e-05,-0.00122318588763871
12,2.65194835497307,-7.82137527202111e-06,1.38420598495806e-05,-0.00125300189849315,2.65194835660224,-7.82367925892249e-06,1.38433625180409e-05,-0.00125300079390892
13,2.65191336427215,-7.69364870833219e-06,1.47118037914997e-05,-0.00126777987007216,2.65191336561205,-7.6967154498409e-06,1.47130269378996e-05,-0.00126777858527959
14,2.65187571758312,-7.56331726174099e-06,1.55035161396102e-05,-0.00126930964179899,2.65187571870518,-7.56679618670299e-06,1.55046288101683e-05,-0.00126930826021514
15,2.651835514649,-7.4463336462032e-06,1.6230475432236e-05,-0.00125935400971298,2.6518355097439,-7.43506068683246e-06,1.62187401981491e-05,-0.00125945035858195
16,2.65179284599078,-7.29049635615523e-06,1.68495834273389e-05,-0.00124005973361639,2.65179283898266,-7.30252967067774e-06,1.68565985231168e-05,-0.00124004501701053
17,2.65174781873327,-7.16153196164568e-06,1.74143445121074e-05,-0.00121285645988694,2.65174781281899,-7.17010258918349e-06,1.74199700741204e-05,-0.0012128433017162
18,2.65170054610836,-7.03226207570596e-06,1.79072568863676e-05,-0.00117947130502579,2.65170054352907,-7.03855940015074e-06,1.79110255564598e-05,-0.00117946031513822
19,2.65165114787451,-6.90417814818656e-06,1.83298403005661e-05,-0.00114135624848089,2.65165114898863,-6.90856574278424e-06,1.83322302074075e-05,-0.00114134713465163
20,2.6515997479696,-6.77772473028933e-06,1.86849948584761e-05,-0.00109978548518061,2.65159975237988,-6.78068046941249e-06,1.86862494939919e-05,-0.00109977799293469
21,2.65154647498598,-6.65347898440076e-06,1.89754873451112e-05,-0.00105585514166602,2.65154648188517,-6.65536464641293e-06,1.89758702783203e-05,-0.00105584904078028
22,2.65149146191848,-6.53188504655768e-06,1.92041955861429e-05,-0.00101049025188093,2.65149147036815,-6.53299130474633e-06,1.92039365614124e-05,-0.00101048533627536
23,2.65143484595153,-6.41330429550204e-06,1.93740036572223e-05,-0.00096445711760342,2.65143485504322,-6.41385538479385e-06,1.93732984414506e-05,-0.000964453205078952
24,2.65137676818892,-6.29801726677446e-06,1.94877623183098e-05,-0.000918378755354886,2.65137677713401,-6.29818346848123e-06,1.94867726821472e-05,-0.000918375686271081
25,2.65131737334995,-6.18623490137699e-06,1.95482582006297e-05,-0.000872751696932706,2.65131738152191,-6.18614301800958e-06,1.95471132188677e-05,-0.000872749332559231
26,2.65125680943989,-6.07810843741703e-06,1.95581910852387e-05,-0.000827962904125586,2.65125681638528,-6.07785094314748e-06,1.95569899794515e-05,-0.000827961124777338
27,2.65119522740051,-5.97373857902725e-06,1.9520158748125e-05,-0.000784305964606431,2.6511952328304,-5.97338139895712e-06,1.95189745190236e-05,-0.000784304667691846
28,2.65113278074477,-5.87318382546562e-06,1.94366477297524e-05,-0.000741996055790892,2.65113278451508,-5.87277277553499e-06,1.94355311298758e-05,-0.000741995153878596
29,2.65106962517943,-5.77646790280499e-06,1.93100287353491e-05,-0.000701183402872561,2.65106962726569,-5.77603388402006e-06,1.93090122646503e-05,-0.000701182821836909
30,2.65100591821815,-5.68358626778123e-06,1.91425556226263e-05,-0.000661965128165148,2.65100591868883,-5.68314937204159e-06,1.91416572874491e-05,-0.00066196480546355
31,2.65094181878749,-5.59451174039303e-06,1.89363670040947e-05,-0.00062439550476125,2.65094181777829,-5.59408442000121e-06,1.89355937330952e-05,-0.000624395387853733
32,2.65087748682788,-5.50919931070276e-06,1.86934898009005e-05,-0.000588494700907254,2.65087748451853,-5.50878877976634e-06,1.86928404040834e-05,-0.000588494745858887
33,2.65081308289104,-5.42759023078446e-06,1.84158440995922e-05,-0.000554256143792278,2.6508130794856,-5.42720022170707e-06,1.84153117653938e-05,-0.000554256314013621
34,2.65074876773557,-5.3496154079349e-06,1.81052488831589e-05,-0.000521652651297532,2.65074876344639,-5.34924745629666e-06,1.81048232090064e-05,-0.000521652916455758
35,2.650684701922,-5.27519827007235e-06,1.77634282556358e-05,-0.000490641485364766,2.65068469695733,-5.27485259408343e-06,1.7763096853601e-05,-0.000490641820437476
36,2.65062104540845,-5.20425710260668e-06,1.73920179151833e-05,-0.000461168475872418,2.65062103996347,-5.20393320375464e-06,1.73917676222303e-05,-0.000461168860337971
37,2.65055795714822,-5.13670697679464e-06,1.69925716383359e-05,-0.000433171353494081,2.65055795139904,-5.13640402299649e-06,1.69923894036774e-05,-0.000433171770649305
38,2.65049559469009,-5.07246130715534e-06,1.65665676416822e-05,-0.00040658241665928,2.65049558879034,-5.07217837144161e-06,1.65664411538041e-05,-0.000406582852965566
39,2.65043411378275,-5.01143312314558e-06,1.61154147854527e-05,-0.000381330642767927,2.65043410786207,-5.01116930954246e-06,1.61153328333941e-05,-0.000381331087420423
40,2.65037366798386,-4.95353608603202e-06,1.56404584210881e-05,-0.000357343340018243,2.65037366214805,-4.95329058195493e-06,1.56404111105907e-05,-0.000357343784491911
