state_1_error,state_2_error,state_3_error,state_4_error,state_5_error,state_6_error,state_7_error,state_8_error,state_9_error,state_10_error,state_11_error,state_12_error
0,0,0,0,0,0,0,0,0,0,0,0
7.54951656745106e-15,6.48786580015326e-15,1.31006316905768e-14,8.1823436914874e-14,9.68067639939285e-12,1.11730069640714e-12,2.25500929346428e-10,1.329417439549e-10,1.13435118825333e-09,1.57693886299282e-10,1.30648851112691e-10,7.862177575646e-10
3.42605943615126e-11,2.39514935662655e-11,8.08083600034593e-11,1.20191523400592e-10,1.48290731950829e-08,8.41189334854775e-09,1.11908498497488e-06,4.9548297493844e-07,1.63928400154134e-06,7.79576325488495e-07,4.15351394809221e-07,1.12681896158318e-06
5.67823565944536e-10,3.60471069660306e-10,2.51469733925092e-10,5.46380263255486e-09,8.39318364288799e-09,1.49339584587516e-08,3.70673365369557e-06,1.22293140039571e-06,2.23152650127902e-06,9.96754727048918e-07,1.93942483487849e-07,7.40496559625825e-07
2.57097410027995e-09,1.48800782806546e-09,4.57997972880264e-10,1.47176226761303e-08,4.36217449020088e-08,1.68876942152618e-08,5.71509935332358e-06,1.60658494304062e-06,3.47764507814935e-07,3.47736640627884e-07,1.75294365994949e-07,5.88259418954351e-07
6.79165856887209e-09,3.76879677466135e-09,7.35067673396372e-10,2.40587826327854e-08,1.08439320712153e-07,1.73495454391936e-08,6.40066081273444e-06,1.79703512904913e-06,1.17619609230891e-06,6.36520861204845e-08,1.12207930202599e-07,4.83219710911698e-07
1.34590407707691e-08,7.43085756815809e-09,1.11543785319412e-09,3.16169825875789e-08,1.76748030074683e-07,1.72353118998991e-08,6.36524871768354e-06,1.85665414002769e-06,2.45348748916776e-06,1.58353436763019e-07,1.00041434821993e-07,4.11727298921249e-07
2.24885938759911e-08,1.25849475285378e-08,1.61768520801076e-09,3.66782109129105e-08,2.43157106302391e-07,1.71679687688275e-08,5.78740859092177e-06,1.88640530117341e-06,3.56788416996061e-06,3.15466143195793e-07,8.27300784440876e-08,3.68380468351859e-07
3.35767929016129e-08,1.92463958104128e-08,2.23968876778002e-09,3.94107080303741e-08,3.03683651855721e-07,1.7165068616487e-08,4.84735041102731e-06,1.90241562324822e-06,4.59111097597578e-06,4.10974878396871e-07,6.48137106380731e-08,3.47271889022949e-07
4.62821199143093e-08,2.7342014596865e-08,2.96648294817459e-09,4.02404494170838e-08,3.55773217096747e-07,1.72479884819055e-08,3.70269040695258e-06,1.91833171960153e-06,5.57867278473698e-06,4.58005883183827e-07,4.72026688482646e-08,3.42968401456645e-07
6.00944114470536e-08,3.67242383725319e-08,3.77483100333365e-09,3.97469661628236e-08,3.98103242650952e-07,1.74001745789631e-08,2.47698185499393e-06,1.94038352099776e-06,6.57234521509662e-06,4.67580820846673e-07,2.94907096243247e-08,3.51125234554495e-07
