step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
1,2,0,-0.5,0.5,-0.0101804652020792,-0.199740727264795,0.0509243333981387,3.11282793574296e-18,1.5707963267949,-7.78206983935739e-19,0.0127255815025991,0.998703636323975,2,0,-0.5,0.5,-0.0101804652020792,-0.199740727264795,0.0509243333981387,3.11282793574296e-18,1.5707963267949,-7.78206983935739e-19,0.0127255815025991,0.998703636323975
2,1.99937503248612,0.0249973961580507,-0.510000001241005,0.500086433484904,-0.0101865131978048,-0.200695068814318,0.0508767767486974,-0.00190557154422219,1.62069922294294,1.57693885521075e-10,0.0127255813719502,0.998703635537758,1.99937503248612,0.0249973961580442,-0.510000001241018,0.500086433484822,-0.0101865132074855,-0.200695068813201,0.0508767767447617,-0.00190557154190192,1.62069922296274,-7.78206983935739e-19,0.0127255815025991,0.998703636323975
3,1.99750052004966,0.0499791758222064,-0.52000001233684,0.50110639095157,-0.0102202788175685,-0.201647859530898,0.050734627629146,-0.00380108192033673,1.67050969058266,7.79862576529562e-07,0.0127497783926664,0.994986040656296,1.99750052008392,0.0499791758461579,-0.520000012417649,0.501106390831379,-0.0102202639884953,-0.201647867942791,0.0507346080974284,-0.00380109056814603,1.67050966197175,2.8625104106724e-10,0.0127493630412716,0.994984913837334
4,1.99437763276395,0.0749297454055796,-0.530000048199764,0.503051952214885,-0.010281673913378,-0.202596732798848,0.0504999875928534,-0.00567142110945108,1.72004467913466,9.98168270025609e-07,0.012796929071492,0.987638319114538,1.99437763333177,0.0749297457660506,-0.530000048451234,0.503051957678687,-0.0102816655201943,-0.202596747732807,0.0504999228981467,-0.00567144245363054,1.72004464018718,1.41354297669096e-09,0.0127967351290085,0.987639059611097
5,1.99000832023937,0.0998335453003074,-0.540000123827461,0.505907924833099,-0.0103704072633647,-0.203539323361134,0.0501766178794365,-0.00750216352900558,1.76912784685766,3.51621961137923e-07,0.0128674964887851,0.976843125588107,1.99000832281034,0.0998335467883152,-0.540000124285459,0.505907939550721,-0.0103704508851096,-0.203539340248828,0.0501765181321357,-0.00750219156920255,1.76912784078802,3.88532051003874e-09,0.0128673211944191,0.976843713847526
6,1.98439531113226,0.124675059943848,-0.550000254141792,0.509652259117705,-0.0104860385204022,-0.204473275069484,0.0497698226057547,-0.00927992455935723,1.81759363214171,7.1777221731748e-08,0.0129606817362968,0.962851616818975,1.98439531792392,0.124675063712645,-0.550000254876859,0.509652283176488,-0.010486146959723,-0.20447329241903,0.0497697108931492,-0.009279955923537,1.8175936526702,8.1251356112635e-09,0.0129605695283666,0.962852100038686
7,1.97754211173654,0.149438827569353,-0.560000454069808,0.514256634702487,-0.010627913562957,-0.205396254640822,0.0492862033754085,-0.0109926815035699,1.86529053332448,-1.43897757480299e-07,0.0130758681081558,0.945978346913988,1.97754212519558,0.14943883500021,-0.560000455185245,0.51425666631947,-0.0106280903109871,-0.205396271876133,0.0492860922808607,-0.0109927139082977,1.86529057614591,1.44556792827197e-08,0.0130757680667209,0.945978758641287
8,1.96945300358848,0.17410944988697,-0.570000738546364,0.519687182040951,-0.0107952058805266,-0.20630595558306,0.0487333393345947,-0.0126299952881157,1.91208380019053,-2.92379383876888e-07,0.0132121453013137,0.926582556171559,1.96945302607707,0.174109462471917,-0.570000740164049,0.519687218719161,-0.0107954490376329,-0.206305972751029,0.0487332383252596,-0.0126300282120992,1.91208386246186,2.30867593189052e-08,0.0132120625712352,0.926582924552027
9,1.96013304069758,0.198671601719885,-0.58000112251089,0.525905292172414,-0.0109869452255325,-0.207200104238973,0.0481194860466359,-0.0141831475177675,1.95785722786848,-3.7686250206865e-07,0.0133685419433281,0.905050739542899,1.96013307427437,0.198671620966281,-0.580001124750578,0.525905331583122,-0.0109872489091843,-0.207200121404042,0.0481194014444113,-0.0141831807211838,1.95785730799848,3.41123763282205e-08,0.0133684771296175,0.905051086814788
10,1.94958804630857,0.223110040608624,-0.59000162088969,0.532868471932917,-0.0112020462120054,-0.208076464831887,0.0474532694397071,-0.0156451871174661,2.00251409998171,-4.10489904704358e-07,0.0135439830693708,0.881779808793628,1.94958809259069,0.223110067950639,-0.590001623856173,0.532868512173367,-0.0112024019852225,-0.208076482079876,0.0474532048155683,-0.0156452205986708,2.00251419734792,4.75159784794689e-08,0.013543935866702,0.881780151762029
