step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
1,4.81363964280428,0.0895344737029276,-0.149999999952497,0.0499999999685149,2.65213813554272,-8.64217747426831e-06,-5.28494738375149e-22,-4.97038415914366e-22
2,1.86213385204881,-0.088329023343102,-0.121752699125698,0.0499999999997601,2.65213652742475,-8.63412530596609e-06,1.46020137352761e-06,-0.000177754934861443
3,5.2973999887923,-0.149999999988979,0.0877506742439624,0.0499999999998664,2.65213170707916,-8.61012319790006e-06,2.90867591757681e-06,-0.000351131832014122
4,5.2973999999998,0.149999999999996,0.0494562661660675,0.0499999999998366,2.6521236865209,-8.57062646683884e-06,4.33402883751703e-06,-0.000516017527498705
5,4.58609000116206,0.145804742259726,0.149999999999901,-0.0186452117406745,2.65211248574177,-8.5163685029113e-06,5.72550659250444e-06,-0.000668799140062547
6,3.40153309447355,0.0192000409666087,0.0850892329835213,-0.049782201151871,2.6520981326608,-8.44832515059639e-06,7.07326329057507e-06,-0.000806545718795665
7,2.15896517712444,0.000646943959285844,0.00399173857527055,-0.0306591106333845,2.65208066305495,-8.36766960107937e-06,8.3685693340638e-06,-0.000927120869466615
8,1.67684289304851,-0.0288699610018943,-0.0137202319962101,-0.0161489047243481,2.65206012047031,-8.27572167991949e-06,9.60395382143148e-06,-0.00102922184384005
9,1.68817789455148,-0.0174563319698966,-0.0220748327584872,-0.0121900257267395,2.65203655611403,-8.17389549201706e-06,1.07732789140157e-05,-0.00111235069552185
10,1.86329480379326,-0.0175687163952764,-0.00884122647868584,-0.00587640357258353,2.65201002872716,-8.06364900108946e-06,1.18717503636418e-05,-0.00117673075412607
11,2.09911541577792,-0.0135950060664642,-0.00740986948907394,-0.003488601317275,2.65198060443888,-7.94643840274599e-06,1.28958729658405e-05,-0.00122318588763871
12,2.31449898518341,-0.01213023514352,-0.00380242347891691,-0.00149602031362532,2.65194835660224,-7.82367925892249e-06,1.38433625180409e-05,-0.00125300079390892
13,2.48649979349994,-0.0115924387091628,-0.00253256770761454,-0.000378008459239422,2.65191336561205,-7.6967154498409e-06,1.47130269378996e-05,-0.00126777858527959
14,2.6102266371423,-0.0113292187576062,-0.00196285506098848,0.000301395332698823,2.65187571870518,-7.56679618670299e-06,1.55046288101683e-05,-0.00126930826021514
15,2.68872353849043,-0.0110814665904226,-0.00161934843541597,0.000639675246108263,2.6518355097439,-7.43506068683246e-06,1.62187401981491e-05,-0.00125945035858195
16,2.72981041395331,-0.0106093630511861,-0.00140857537423387,0.000726592439276803,2.65179283898266,-7.30252967067774e-06,1.68565985231168e-05,-0.00124004501701053
17,2.74282779710089,-0.00984922606614056,-0.00121596947075289,0.000622938788941126,2.65174781281899,-7.17010258918349e-06,1.74199700741204e-05,-0.0012128433017162
18,2.73709386249222,-0.00882583297094679,-0.00103305307749852,0.000376530777636301,2.65170054352907,-7.03855940015074e-06,1.79110255564598e-05,-0.00117946031513822
19,2.72080949744915,-0.00761099325705388,-0.000872652778524011,3.00373502515208e-05,2.65165114898863,-6.90856574278424e-06,1.83322302074075e-05,-0.00114134713465163
20,2.70043947913256,-0.00629423514369929,-0.000749500577294454,-0.000377372932803751,2.65159975237988,-6.78068046941249e-06,1.86862494939919e-05,-0.00109977799293469
21,2.68051848472726,-0.0049624554691545,-0.000672464038866809,-0.000809836126192252,2.65154648188517,-6.65536464641293e-06,1.89758702783203e-05,-0.00105584904078028
22,2.6637724040199,-0.00368850690191817,-0.000642343001409537,-0.00123605846236128,2.65149147036815,-6.53299130474633e-06,1.92039365614124e-05,-0.00101048533627536
23,2.65143644883846,-0.00252660247120189,-0.000653439010726309,-0.00163069818104851,2.65143485504322,-6.41385538479385e-06,1.93732984414506e-05,-0.000964453205078952
24,2.64365789665441,-0.00151183096741481,-0.000696074722824164,-0.00197522638960291,2.65137677713401,-6.29818346848123e-06,1.94867726821472e-05,-0.000918375686271081
25,2.63989579201872,-0.000661970749667145,-0.000758893951781845,-0.00225801457757421,2.65131738152191,-6.18614301800958e-06,1.95471132188677e-05,-0.000872749332559231
26,2.6392616421104,1.95613096188032e-05,-0.000830613749087301,-0.00247371115763043,2.65125681638528,-6.07785094314748e-06,1.95569899794515e-05,-0.000827961124777338
27,2.64077489035053,0.000540323155631224,-0.000901214320566795,-0.00262214641030403,2.6511952328304,-5.97338139895712e-06,1.95189745190236e-05,-0.000784304667691846
28,2.64352999113949,0.000915455146321591,-0.00096264703578019,-0.00270703723593175,2.65113278451508,-5.87277277553499e-06,1.94355311298758e-05,-0.000741995153878596
29,2.6467866162992,0.00116457939202196,-0.00100915117450302,-0.00273471255031779,2.65106962726569,-5.77603388402006e-06,1.93090122646503e-05,-0.000701182821836909
30,2.65000149618815,0.0013091921385951,-0.00103726527846504,-0.00271299957976138,2.65100591868883,-5.68314937204159e-06,1.91416572874491e-05,-0.00066196480546355
31,2.65282149755522,0.00137065536566707,-0.0010456166598672,-0.00265033541008997,2.65094181777829,-5.59408442000121e-06,1.89355937330952e-05,-0.000624395387853733
32,2.65505501175532,0.00136880237909639,-0.00103456973336891,-0.00255511240530336,2.65087748451853,-5.50878877976634e-06,1.86928404040834e-05,-0.000588494745858887
33,2.65663457253376,0.00132109939412423,-0.00100580623093854,-0.00243523330760401,2.6508130794856,-5.42720022170707e-06,1.84153117653938e-05,-0.000554256314013621
34,2.65757927913675,0.00124226072074798,-0.000961897354517789,-0.00229783758435826,2.65074876344639,-5.34924745629666e-06,1.81048232090064e-05,-0.000521652916455758
35,2.65796188917399,0.00114419919977846,-0.00090591150465718,-0.0021491585344093,2.65068469695733,-5.27485259408343e-06,1.7763096853601e-05,-0.000490641820437476
36,2.65788268775544,0.00103619917376147,-0.000841084313877298,-0.00199447498639353,2.65062103996347,-5.20393320375464e-06,1.73917676222303e-05,-0.000461168860337971
37,2.65745043159443,0.000925217494548435,-0.000770562833700954,-0.00183812805950933,2.65055795139904,-5.13640402299649e-06,1.69923894036774e-05,-0.000433171770649305
38,2.65676964170161,0.000816240979102807,-0.00069722434710536,-0.00168358014192184,2.65049558879034,-5.07217837144161e-06,1.65664411538041e-05,-0.000406582852965566
39,2.65593305881196,0.000712650953555972,-0.000623562778928028,-0.00153349900788522,2.65043410786207,-5.01116930954246e-06,1.61153328333941e-05,-0.000381331087420423
40,2.65501797982384,0.000616564223857538,-0.000551631636850483,-0.00138985461986154,2.65037366214805,-4.95329058195493e-06,1.56404111105907e-05,-0.000357343784491911
41,2.65408530225328,0.000529134024989568,-0.000483031022719769,-0.00125401975546263,2.65031440260731,-4.89845737910208e-06,1.5142964780566e-05,-0.000334547859355592
42,2.65318030571513,0.000450804421971188,-0.000418926627941376,-0.00112686835546932,2.65025647724652,-4.84658694609184e-06,1.46242298738907e-05,-0.00031287079841911
43,2.65233442468805,0.000381517999502889,-0.000360090011679817,-0.00100886759244025,2.65020003074969,-4.79759906411461e-06,1.40853944393448e-05,-0.000292241376491718
44,2.65156747628487,0.000320880363237195,-0.000306951297843922,-0.000900161252232651,2.65014520411609,-4.75141642585272e-06,1.35276029975414e-05,-0.000272590173266774
45,2.65088998248342,0.000268286795777377,-0.000259657349952439,-0.000800643208165055,2.65009213430732,-4.70796492327108e-06,1.29519606695252e-05,-0.000253849929370473
46,2.65030536333044,0.000223017019289641,-0.000218130279045105,-0.000710020630646019,2.65004095390435,-4.66717386340156e-06,1.23595369900718e-05,-0.000235955775052921
47,2.64981187824393,0.000184303897645654,-0.000182122703897457,-0.000627867178330009,2.64999179077554,-4.62897612534497e-06,1.17513694192617e-05,-0.000218845358540588
48,2.64940426226557,0.000151381398263502,-0.000151267477232729,-0.000553666814572242,2.64994476775627,-4.59330826965844e-06,1.11284665684432e-05,-0.000202458895997124
49,2.64907504948958,0.000123516443934287,-0.000125120618235014,-0.000486849131605498,2.6499000023412,-4.56011060953202e-06,1.04918111582505e-05,-0.000186739160820002
