step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
1,0,0,-0.02,0,0,0,0,0,0,0,0,0,2,0,-0.5,0.5,-0.0101804652020792,-0.199740727264795,0.0509243333981387,3.11282793574296e-18,1.5707963267949,-7.78206983935739e-19,0.0127255815025991,0.998703636323975
2,0.00022619763705224,0.000136387892238794,-0.0300191111360893,-0.0063513341795835,-0.00377173475507662,-0.400952741563957,0.0355788178734968,-0.0616009500308794,0.0250637223865516,1.44876942548704,-2.44860583425954,1.04602510394383,1.99937503248612,0.0249973961580442,-0.510000001241018,0.500086433484822,-0.0101865132074855,-0.200695068813201,0.0508767767447617,-0.00190557154190192,1.62069922296274,-7.78206983935739e-19,0.0127255815025991,0.998703636323975
3,0.00206671057083266,0.00117555346232631,-0.0463287218075246,0.00707185364085646,0.0111926076990697,-0.260524371019019,0.0604120927899212,-0.238149874182719,0.0944396457031233,-0.0516372134180605,-4.44234803918724,2.09205020854132,1.99750052008392,0.0499791758461579,-0.520000012417649,0.501106390831379,-0.0102202639884953,-0.201647867942791,0.0507346080974284,-0.00380109056814603,1.67050966197175,2.8625104106724e-10,0.0127493630412716,0.994984913837334
4,0.0125651020025043,0.00476698067405436,-0.0699094175891445,0.0807885924789462,0.0547357667627301,-0.784734220438196,-0.0519537169194061,-0.425774305120339,0.229160376177335,-2.60080132413155,-2.9723140981353,3.13807531314103,1.99437763333177,0.0749297457660506,-0.530000048451234,0.503051957678687,-0.0102816655201943,-0.202596747732807,0.0504999228981467,-0.00567144245363054,1.72004464018718,1.41354297669096e-09,0.0127967351290085,0.987639059611097
5,0.0431052986374992,0.0105028845153807,-0.11353613346263,0.186643063184771,0.0382081619071632,-1.34817836729293,-0.228068672079191,-0.523958332451182,0.4535680441979,-0.25976400102809,-2.11108581226207,4.18410041774012,1.99000832281034,0.0998335467883152,-0.540000124285459,0.505907939550721,-0.0103704508851096,-0.203539340248828,0.0501765181321357,-0.00750219156920255,1.76912784078802,3.88532051003874e-09,0.0128673211944191,0.976843713847526
6,0.0977166437506751,0.0170435524990505,-0.171498599265259,0.355889852309156,-0.20479799007574,-1.79528267609859,-0.302134740864679,-0.512933472442879,0.689225916975024,2.07424745831337,0.293076020633205,3.79403322651262,1.98439531792392,0.124675063712645,-0.550000254876859,0.509652283176488,-0.010486146959723,-0.20447329241903,0.0497697108931492,-0.009279955923537,1.8175936526702,8.1251356112635e-09,0.0129605695283666,0.962852100038686
7,0.172450209366197,0.0259707045464374,-0.235840122419721,0.602793928293073,-0.616543055875323,-1.93622056424344,-0.263652803487097,-0.420891917982233,0.850712248133393,2.41993229078155,1.59787642797801,2.75256458316804,1.97754212519558,0.14943883500021,-0.560000455185245,0.51425666631947,-0.0106280903109871,-0.205396271876133,0.0492860922808607,-0.0109927139082977,1.86529057614591,1.44556792827197e-08,0.0130757680667209,0.945978758641287
8,0.259072105985346,0.0379631797651066,-0.298239247476265,0.82620599672406,-1.03052824200694,-1.73095525731557,-0.180281267716002,-0.315890947637015,0.958806863169453,2.47345685914521,1.59699858503968,2.11116059502192,1.96945302607707,0.174109462471917,-0.570000740164049,0.519687218719161,-0.0107954490376329,-0.206305972751029,0.0487332383252596,-0.0126300282120992,1.91208386246186,2.30867593189052e-08,0.0132120625712352,0.926582924552027
9,0.351525068398529,0.0525315272828697,-0.352656008468618,0.954960371616949,-1.35695890188098,-1.37294397854349,-0.0915886965921336,-0.230434848354185,1.04839366896917,2.03474005120858,1.32489898162726,1.77331739995188,1.96013307427437,0.198671620966281,-0.580001124750578,0.525905331583122,-0.0109872489091843,-0.207200121404042,0.0481194014444113,-0.0141831807211838,1.95785730799848,3.41123763282205e-08,0.0133684771296175,0.905051086814788
10,0.447005364345681,0.069449088724143,-0.397627977447774,0.997980410955821,-1.57617078267502,-1.010060069944,-0.0123125361526776,-0.169875877564951,1.12912260783321,1.77106809180204,0.930611633679889,1.51829594123348,1.94958809259069,0.223110067950639,-0.590001623856173,0.532868512173367,-0.0112024019852225,-0.208076482079876,0.0474532048155683,-0.0156452205986708,2.00251419734792,4.75159784794689e-08,0.013543935866702,0.881780151762029
