step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
1,3.1269081342689,0.0881613736384552,-0.149999999999383,0.0499997843671819,2.65213813554272,-8.64217747426831e-06,-5.28494738375149e-22,-4.97038415914366e-22
2,2.82794495488379,-0.0434321698337353,0.0604771348759345,0.00967954377493079,2.65213652742475,-8.63412530596609e-06,1.46020137352761e-06,-0.000177754934861443
3,3.07777769391399,-0.0437793702922225,0.0431838442342675,-0.00942772157617672,2.65213170707916,-8.61012319790006e-06,2.90867591757681e-06,-0.000351131832014122
4,2.9807190678188,0.0061628865503542,0.04159738203088,0.002224451707065,2.6521236865209,-8.57062646683884e-06,4.33402883751703e-06,-0.000516017527498705
5,2.83073193273707,-0.00633889314122323,0.0290147275857307,-0.00309061247721803,2.65211248574177,-8.5163685029113e-06,5.72550659250444e-06,-0.000668799140062547
6,2.712657045957,0.000544890643291006,0.0152468406736331,-0.00227041339072676,2.6520981326608,-8.44832515059639e-06,7.07326329057507e-06,-0.000806545718795665
7,2.64207413586588,0.00119579155283284,0.00696877486764835,-0.00231349879295878,2.65208066305495,-8.36766960107937e-06,8.3685693340638e-06,-0.000927120869466615
8,2.61440615277175,0.00153077173984962,0.00139116550583795,-0.00218229068994372,2.65206012047031,-8.27572167991949e-06,9.60395382143148e-06,-0.00102922184384005
9,2.61492400593543,0.00134066948654774,-0.00206965735137513,-0.00201870806128033,2.65203655611403,-8.17389549201706e-06,1.07732789140157e-05,-0.00111235069552185
10,2.62951952128991,0.00091426017975524,-0.0041125451994049,-0.00183879684749223,2.65201002872716,-8.06364900108946e-06,1.18717503636418e-05,-0.00117673075412607
11,2.64791450004128,0.000423188060914825,-0.00519201945785927,-0.00165617439136977,2.65198060443888,-7.94643840274599e-06,1.28958729658405e-05,-0.00122318588763871
12,2.66398418259685,-4.31400143799679e-05,-0.00560701572435116,-0.00148138216908145,2.65194835660224,-7.82367925892249e-06,1.38433625180409e-05,-0.00125300079390892
13,2.67494031600116,-0.000434376088858389,-0.00556890301077378,-0.00132123460461702,2.65191336561205,-7.6967154498409e-06,1.47130269378996e-05,-0.00126777858527959
14,2.68024673852509,-0.000728165625335119,-0.00523179233991946,-0.00117976779756163,2.65187571870518,-7.56679618670299e-06,1.55046288101683e-05,-0.00126930826021514
