step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
1,2.2,-0.2,-0.5,0,0,0,0,0,1.5707963267949,0,0,0,2,0,-0.5,0.5,-0.0101804652020792,-0.199740727264795,0.0509243333981387,3.11282793574296e-18,1.5707963267949,-7.78206983935739e-19,0.0127255815025991,0.998703636323975
2,2.19991275185919,-0.199853057300696,-0.502211505161939,0.00645388896439889,0.00359388414645639,-0.0890126391045892,0.0350190991861006,-0.0615929617781209,1.59587725161255,1.42640647312204,-2.44851945509902,1.04602059345569,1.99937503248612,0.0249973961580442,-0.510000001241018,0.500086433484822,-0.0101865132074855,-0.200695068813201,0.0508767767447617,-0.00190557154190192,1.62069922296274,-7.78206983935739e-19,0.0127255815025991,0.998703636323975
3,2.19879595154036,-0.198004507018913,-0.507366090630418,0.053589419561099,0.0266349970183451,-0.129666104464259,0.0819353240259291,-0.163166580985424,1.64760509679815,0.694278475829179,-1.47687722162367,1.24852150924922,1.99750052008392,0.0499791758461579,-0.520000012417649,0.501106390831379,-0.0102202639884953,-0.201647867942791,0.0507346080974284,-0.00380109056814603,1.67050966197175,2.8625104106724e-10,0.0127493630412716,0.994984913837334
4,2.1951740865254,-0.191980759849463,-0.514883506475548,0.142202355969856,0.0609494769823403,-0.226258970491366,0.088020041268328,-0.224417317133923,1.70095844050157,-0.0332357569515904,-0.777886864258522,1.05128884029155,1.99437763333177,0.0749297457660506,-0.530000048451234,0.503051957678687,-0.0102816655201943,-0.202596747732807,0.0504999228981467,-0.00567144245363054,1.72004464018718,1.41354297669096e-09,0.0127967351290085,0.987639059611097
5,2.18834383578169,-0.180192281385697,-0.525133622762321,0.257447392419503,0.0890227930609755,-0.307547353495667,0.0760131640108457,-0.250687981088454,1.75421336805122,0.061940099214869,-0.100572190082465,1.09782548688287,1.99000832281034,0.0998335467883152,-0.540000124285459,0.505907939550721,-0.0103704508851096,-0.203539340248828,0.0501765181321357,-0.00750219156920255,1.76912784078802,3.88532051003874e-09,0.0128673211944191,0.976843713847526
6,2.17830243435218,-0.162295996696099,-0.536863421738857,0.386926761619493,0.104892752647609,-0.355423092534146,0.0627921734560354,-0.247643714654829,1.80954112941079,-0.0397280102593829,0.371848642243045,1.03316832208751,1.98439531792392,0.124675063712645,-0.550000254876859,0.509652283176488,-0.010486146959723,-0.20447329241903,0.0497697108931492,-0.009279955923537,1.8175936526702,8.1251356112635e-09,0.0129605695283666,0.962852100038686
7,2.16522570410668,-0.13871219998093,-0.548908471824242,0.516946496545378,0.109119178157,-0.370278068238572,0.0486085247647595,-0.225673444257076,1.86279564039231,-0.0253172594593296,0.620535079840236,0.985670133996991,1.97754212519558,0.14943883500021,-0.560000455185245,0.51425666631947,-0.0106280903109871,-0.205396271876133,0.0492860922808607,-0.0109927139082977,1.86529057614591,1.44556792827197e-08,0.0130757680667209,0.945978758641287
8,2.14940564736585,-0.110183504730965,-0.560563441393561,0.636861294009618,0.102061897148061,-0.360618612082035,0.0374379150807463,-0.193891458814494,1.91338477988229,0.00136590471344224,0.734162504767615,0.937270577658941,1.96945302607707,0.174109462471917,-0.570000740164049,0.519687218719161,-0.0107954490376329,-0.206305972751029,0.0487332383252596,-0.0126300282120992,1.91208386246186,2.30867593189052e-08,0.0132120625712352,0.926582924552027
9,2.13115602518226,-0.0775526912303593,-0.571554697472114,0.740167049319366,0.0863390910073752,-0.336506268324588,0.029954725534446,-0.158168136942117,1.9610663921954,0.0338453432297023,0.756642867095247,0.891615960714512,1.96013307427437,0.198671620966281,-0.580001124750578,0.525905331583122,-0.0109872489091843,-0.207200121404042,0.0481194014444113,-0.0141831807211838,1.95785730799848,3.41123763282205e-08,0.0133684771296175,0.905051086814788
10,2.11078608596829,-0.0416726741749568,-0.581915039644431,0.823907126552751,0.0649353872286594,-0.306487168329239,0.0260828835445317,-0.122411234548483,2.0060452013533,0.0628117402284778,0.722469757399738,0.849383574495257,1.94958809259069,0.223110067950639,-0.590001623856173,0.532868512173367,-0.0112024019852225,-0.208076482079876,0.0474532048155683,-0.0156452205986708,2.00251419734792,4.75159784794689e-08,0.013543935866702,0.881780151762029
